,timeRELOC,timeSEL
0,28000,0
1,69283,0
2,38001,0
3,40000,0
4,65992,0
5,69287,0
6,4997,1000
7,1000,0
8,58003,0
9,45094,0
10,60691,0
11,53010,0
12,32610,0
13,4990,0
14,59368,0
15,5001,0
16,62257,0
17,5007,1000
18,62153,0
19,43181,0
20,39208,0
21,52000,0
22,42999,0
23,6003,0
24,7004,0
25,56993,0
26,4999,0
27,60874,0
28,5582,0
29,5048,999
30,44125,0
31,2000,0
32,55000,0
33,46003,0
34,45157,0
35,43000,0
36,40993,0
37,42000,1000
38,54137,0
39,45999,0
40,46339,0
41,5044,0
42,44990,0
43,5001,0
44,45179,0
45,4923,0
46,43009,0
47,28997,1000
48,4999,0
49,75995,0
