,timeRELOC,timeSEL
0,463721,0
1,444115,1001
2,211160,0
3,451039,0
4,465953,1002
5,296059,0
6,480639,0
7,604861,0
8,659549,1063
9,431486,0
10,216494,0
11,205619,1010
12,693538,0
13,470129,0
14,249951,0
15,409738,1006
16,215168,0
17,275874,0
18,463105,0
19,143822,984
20,472695,0
21,318844,0
22,317207,0
23,482644,1006
24,437503,0
25,347482,0
26,304877,0
27,80575,995
28,354728,0
29,423171,0
30,521435,0
31,250534,982
32,253520,0
33,678707,0
34,743292,976
35,551021,0
36,371881,0
37,418714,979
38,312213,0
39,266107,0
40,421939,1062
41,847509,0
42,406314,0
43,267821,0
44,312819,997
45,532301,0
46,311420,0
47,673677,1000
48,609327,0
49,398149,0
