,timeRELOC,timeSEL
0,395178,0
1,189069,1001
2,100005,0
3,219271,0
4,290648,1001
5,159574,0
6,195027,0
7,230673,0
8,395910,997
9,34999,0
10,192714,0
11,153263,0
12,242932,0
13,227003,0
14,393142,0
15,250439,1003
16,338054,0
17,369847,0
18,129158,0
19,302380,0
20,344317,1060
21,246460,0
22,51999,0
23,282540,0
24,197939,1013
25,279244,0
26,30003,0
27,137001,0
28,342675,0
29,31999,1000
30,135009,0
31,84008,0
32,295900,0
33,454657,0
34,180002,991
35,205207,0
36,29000,1014
37,469160,0
38,137994,1021
39,25999,0
40,189004,0
41,362999,992
42,188013,0
43,329691,0
44,295519,1007
45,325419,0
46,434907,964
47,208682,0
48,225621,0
49,25997,0
