,timeRELOC,timeSEL
0,188891,0
1,774012,1009
2,705032,0
3,32881,0
4,660239,0
5,974316,0
6,142420,1000
7,291756,0
8,961983,0
9,807239,0
10,553111,1000
11,645153,0
12,943425,0
13,585812,0
14,392893,0
15,273064,0
16,537119,1000
17,485000,0
18,628311,0
19,440004,0
20,398598,0
21,468496,0
22,647779,1000
23,348655,0
24,704729,0
25,60687,0
26,305060,0
27,273946,992
28,209543,0
29,588158,0
30,187621,0
31,508138,999
32,432688,0
33,434394,0
34,477695,0
35,818683,0
36,815043,999
37,556536,0
38,853432,0
39,784441,0
40,278190,0
41,236153,1000
42,95288,0
43,437191,0
44,814678,0
45,664058,1001
46,901642,0
47,866200,0
48,700420,0
49,365088,1000
