,timeRELOC,timeSEL
0,57986,0
1,68226,999
2,132264,0
3,459897,0
4,258210,1000
5,456632,0
6,78196,0
7,317442,1000
8,467422,0
9,216623,0
10,475886,1000
11,544453,0
12,467137,0
13,526965,992
14,138556,0
15,193388,0
16,139526,0
17,343125,0
18,78527,1008
19,366521,0
20,422165,0
21,218943,0
22,211268,999
23,214994,0
24,563502,0
25,324791,1001
26,80744,0
27,469789,0
28,257249,0
29,74393,999
30,81699,0
31,120585,0
32,278959,0
33,703198,1000
34,569943,0
35,337576,0
36,232919,1001
37,253468,0
38,427474,0
39,80338,999
40,242981,0
41,191502,0
42,306321,0
43,542980,1001
44,585695,0
45,377798,0
46,68380,1000
47,364620,0
48,65108,0
49,247353,0
