,timeRELOC,timeSEL
0,582938,1000
1,261146,0
2,672654,1000
3,621348,0
4,466732,1000
5,522039,0
6,466333,1000
7,474622,0
8,637043,1000
9,497399,0
10,405050,1000
11,240506,0
12,476227,1000
13,450841,0
14,156627,1001
15,412640,0
16,689836,999
17,224677,0
18,709489,1001
19,527562,0
20,533886,1011
21,296326,0
22,387517,0
23,506291,989
24,493147,0
25,454557,1087
26,411680,0
27,601578,0
28,467315,1103
29,589740,0
30,812456,1002
31,546841,0
32,501492,1001
33,262793,0
34,537697,1000
35,257771,1000
36,691478,0
37,558305,999
38,339973,0
39,239131,1000
40,501267,0
41,842027,1000
42,697429,0
43,260979,1001
44,707845,0
45,281225,999
46,281353,0
47,459235,1001
48,240059,0
49,260213,1000
