,timeRELOC,timeSEL
0,130044,1016
1,445287,0
2,435369,0
3,123964,990
4,347291,0
5,814097,0
6,592986,0
7,102812,1000
8,492600,0
9,138989,0
10,221540,0
11,604211,1000
12,769256,0
13,209329,0
14,812264,1004
15,579821,0
16,173438,0
17,271028,996
18,245491,0
19,626372,0
20,598857,1001
21,546743,0
22,817320,0
23,7279,1000
24,223774,0
25,655190,0
26,253178,993
27,304409,0
28,159369,0
29,90084,0
30,105488,1089
31,935442,0
32,911290,0
33,32717,1061
34,370197,0
35,449998,0
36,283391,1001
37,995266,0
38,407731,0
39,162758,999
40,509147,0
41,475862,0
42,341262,999
43,564186,0
44,241420,0
45,73686,0
46,165215,1002
47,219496,0
48,313663,0
49,853334,998
