,timeRELOC,timeSEL
0,257085,0
1,23117,0
2,107613,0
3,141508,0
4,125630,0
5,92266,1000
6,204049,0
7,80219,0
8,90365,0
9,158454,0
10,272671,0
11,20000,1006
12,274471,0
13,29231,0
14,19085,0
15,174851,0
16,62291,0
17,65397,0
18,22230,0
19,23001,994
20,193371,0
21,51518,0
22,137764,0
23,174545,0
24,18993,0
25,3000,999
26,218698,0
27,143404,0
28,245073,0
29,235453,1010
30,77997,0
31,168108,0
32,4001,0
33,200274,0
34,129635,0
35,174119,996
36,119070,0
37,17003,0
38,184609,0
39,128938,0
40,137983,0
41,104389,1000
42,21603,0
43,140890,0
44,244496,0
45,146804,0
46,193144,0
47,134191,1000
48,199736,0
49,20000,0
