,timeRELOC,timeSEL
0,272939,1000
1,198324,0
2,301210,0
3,171992,1001
4,280000,0
5,123384,0
6,234996,0
7,277083,0
8,178992,0
9,311368,1000
10,514540,0
11,172927,0
12,259056,0
13,202000,0
14,223997,1000
15,187945,0
16,349296,0
17,405556,0
18,506718,992
19,564450,0
20,212173,0
21,387282,0
22,362689,1007
23,543177,1000
24,350946,0
25,323807,0
26,217236,2000
27,339998,1001
28,275228,0
29,235181,1999
30,144055,1001
31,224661,999
32,747050,2000
33,154141,1000
34,178002,0
35,111060,1000
36,170030,1000
37,438518,0
38,81351,1135
39,165141,1027
40,202233,0
41,469161,0
42,343064,0
43,514222,998
44,130992,0
45,167928,0
46,154694,0
47,432004,0
48,455015,0
49,245064,1001
