,timeRELOC,timeSEL
0,8000,0
1,2000,1000
2,995,0
3,161036,0
4,11198,0
5,106066,0
6,230166,0
7,43924,1003
8,176130,0
9,11013,0
10,153651,990
11,189000,0
12,6999,0
13,8006,0
14,30002,1002
15,61992,0
16,7001,0
17,8001,0
18,45265,0
19,191993,1004
20,184091,0
21,83008,0
22,45671,0
23,7158,0
24,182996,994
25,10125,0
26,199187,0
27,135388,0
28,2001,999
29,10003,0
30,256841,0
31,12999,1010
32,15001,0
33,186609,0
34,9994,991
35,6012,0
36,2022,0
37,79907,1011
38,10996,0
39,2135,0
40,152045,0
41,129160,0
42,64009,989
43,1998,0
44,89992,0
45,41061,1000
46,60940,0
47,6101,0
48,238006,0
49,10999,1000
