,timeRELOC,timeSEL
0,265125,0
1,196644,1000
2,227435,0
3,72000,0
4,407971,0
5,155067,0
6,60297,0
7,222504,1000
8,340999,0
9,59584,0
10,130934,0
11,422004,0
12,32999,0
13,174220,1001
14,147653,0
15,231209,0
16,162221,0
17,245177,999
18,696428,0
19,257997,0
20,53997,0
21,133197,1001
22,573487,0
23,228078,0
24,796530,0
25,453003,0
26,49993,1001
27,422910,0
28,186888,0
29,61994,0
30,116000,0
31,48924,998
32,222008,0
33,237999,0
34,124992,0
35,110008,1001
36,457273,0
37,236002,0
38,199997,999
39,606015,0
40,62008,0
41,376906,0
42,172667,0
43,237167,1005
44,536261,0
45,660628,0
46,86992,0
47,33008,0
48,242986,0
49,182188,996
