,timeRELOC,timeSEL
0,173504,0
1,808772,0
2,197404,0
3,188364,1005
4,26999,0
5,37000,0
6,177333,995
7,122010,0
8,31991,0
9,155008,0
10,169334,1000
11,34004,0
12,52001,0
13,172999,0
14,173561,1007
15,676942,0
16,744470,0
17,24075,0
18,639925,992
19,162001,0
20,27005,0
21,645658,0
22,108182,1000
23,495422,0
24,428255,0
25,103340,0
26,163994,1000
27,24006,0
28,4993,0
29,168000,0
30,156002,0
31,676832,1001
32,195553,0
33,31104,0
34,200841,0
35,170176,0
36,215345,999
37,192611,0
38,170101,0
39,681262,0
40,117995,0
41,42999,0
42,189322,999
43,351000,0
44,236128,0
45,172001,0
46,158191,0
47,167283,0
48,26997,0
49,24000,1001
