,timeRELOC,timeSEL
0,60568,0
1,120000,0
2,58659,0
3,184882,1000
4,65250,0
5,57712,0
6,125257,0
7,155179,0
8,23145,0
9,87173,0
10,62228,1000
11,17001,0
12,55862,0
13,20005,0
14,158387,999
15,13998,0
16,110865,0
17,64142,0
18,18007,0
19,127995,0
20,5999,0
21,22240,0
22,65157,1001
23,126328,0
24,172460,0
25,59194,0
26,2997,0
27,177594,0
28,169184,1000
29,118234,0
30,124097,0
31,69000,0
32,54093,1000
33,126365,0
34,132512,0
35,143171,0
36,64194,0
37,168690,1000
38,65108,0
39,68257,0
40,54092,0
41,147644,999
42,144346,0
43,21597,0
44,202552,0
45,68234,1000
46,165361,0
47,64655,0
48,74199,0
49,123085,0
