,timeRELOC,timeSEL
0,201115,0
1,333568,0
2,570672,0
3,580002,0
4,124143,999
5,762120,0
6,135151,0
7,243628,0
8,797544,0
9,24122,0
10,522977,1000
11,86108,0
12,515328,0
13,160000,0
14,7001,0
15,659158,0
16,138367,0
17,866483,1000
18,163164,0
19,35000,0
20,222247,0
21,176363,0
22,260996,0
23,36116,0
24,70316,1000
25,193993,0
26,24004,0
27,163761,0
28,5000,0
29,118000,0
30,58000,0
31,704326,1003
32,166988,0
33,381669,0
34,165805,0
35,561975,0
36,23919,0
37,203295,998
38,37132,0
39,24000,0
40,181277,0
41,197945,999
42,82161,0
43,105151,0
44,20001,0
45,299000,1000
46,251191,0
47,74462,0
48,90937,0
49,798564,1000
