,timeRELOC,timeSEL
0,703958,0
1,55687,0
2,606133,1000
3,108672,0
4,263927,0
5,463319,1000
6,438943,0
7,95108,0
8,386811,0
9,455075,1000
10,93075,0
11,459082,0
12,283801,1000
13,97523,0
14,169117,0
15,443187,0
16,474820,1001
17,61140,0
18,172244,0
19,317569,0
20,55288,0
21,371485,999
22,455070,0
23,392814,1000
24,63481,0
25,175555,0
26,96571,0
27,125104,1000
28,370233,0
29,407919,0
30,324033,1000
31,526094,0
32,83748,0
33,220172,0
34,94664,1000
35,289214,0
36,375818,0
37,127185,1003
38,518623,0
39,129652,0
40,51275,0
41,239669,1000
42,448303,0
43,171762,0
44,78751,0
45,614430,998
46,716193,0
47,165211,0
48,382500,999
49,39592,0
