,Timestamp,"//*[@data-context-text=""Creative Tools""]//*[@data-context-metadata=""{""itemIndex"":5,""navPanel"":null}""]_RELOC",xpath//html/body/header/nav/div[2]/div[2]/ul/li[2]/ul/li[2]/ul/li/ul/li[5]_SEL,"//*[@data-context-text=""Market Your Business""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" globalNav__panelL3__overviewCta "")][1]_RELOC",class nameglobalNav__panelL3__overviewCta_SEL,xpath//html/body/header/nav/div[2]/div[2]/ul/li/ul/li[2]/ul/li[2]_SEL,"//*[@data-context-metadata=""{""itemIndex"":2,""navPanel"":""Courier:IndustryTrends""}""]_RELOC",xpath//html/body/header/nav/div[2]/div[4]/ul/li[2]/ul/li[2]/ul/li[2]/ul/li[2]_SEL,"//*[@id=""languageList""]//*[@hreflang=""fr""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" screen-reader-only "")][1]_RELOC",class namescreen-reader-only_SEL,"xpath//*[@id=""languageList""]/li[3]/a/span_SEL","//*[@data-context-text=""Help""]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" footerItem "")][1]_RELOC",class namefooterItem_SEL,xpath//html/body/footer/div[2]/div/div[5]/ul/li_SEL,"//*[@data-context-text=""Marketing Automation""]//*[@data-context-metadata=""{""itemIndex"":1,""navPanel"":null}""]_RELOC",xpath//html/body/header/nav/div[2]/div[2]/ul/li[2]/ul/li[3]/ul/li/ul/li_SEL,"//*[@data-context-metadata=""{""itemIndex"":1,""navPanel"":""CaseStudies""}""]_RELOC",xpath//html/body/header/nav/div[2]/div[3]/ul/li/ul/li[3]/ul/li/ul/li_SEL,"//*[@data-context-text=""Audience Management""]//*[@data-context-metadata=""{""itemIndex"":4,""navPanel"":null}""]_RELOC",xpath//html/body/header/nav/div[2]/div[2]/ul/li[2]/ul/li/ul/li/ul/li[4]_SEL,"//*[@id=""brandMomentDescription-CJt1BDG0KWbl8HesskHAV""]_RELOC",class namegn__brandMomentCopy_SEL,idbrandMomentDescription-CJt1BDG0KWbl8HesskHAV_SEL,"xpath//*[@id=""brandMomentDescription-CJt1BDG0KWbl8HesskHAV""]_SEL","//*[@data-context-text=""Creative Tools""]//*[@data-context-metadata=""{""itemIndex"":5,""navPanel"":null}""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" globalNav__linkL3 "")][1]_RELOC",class nameglobalNav__linkL3_SEL,xpath//html/body/header/nav/div[2]/div[2]/ul/li[2]/ul/li[2]/ul/li/ul/li[5]/div_SEL,"//*[@data-context-text=""Films""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" globalNav__navSectionL3 "")][2]_RELOC",class nameglobalNav__navSectionL3_SEL,xpath//html/body/header/nav/div[2]/div[4]/ul/li/ul/li[3]/ul/li[2]_SEL,"//*[@data-context-text=""What's Right for Me?""]//*[@data-context-metadata=""{""itemIndex"":1,""navPanel"":null}""]_RELOC",xpath//html/body/header/nav/div[2]/div[2]/ul/li[3]/ul/li/ul/li/ul/li_SEL,"//*[@data-context-text=""Insights & Analytics""]//*[@data-context-metadata=""{""itemIndex"":3,""navPanel"":null}""]_RELOC",xpath//html/body/header/nav/div[2]/div[2]/ul/li[2]/ul/li[4]/ul/li/ul/li[3]_SEL,"//*[@data-context-text=""Audience Management""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" globalNav__panelL3__overviewCta "")][1]_RELOC",xpath//html/body/header/nav/div[2]/div[2]/ul/li[2]/ul/li/ul/li[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" globalNav__actions__account__exit "")]_RELOC",class nameglobalNav__actions__account__exit_SEL,xpath//html/body/header/nav/ul/li[4]/div/button_SEL,"//*[@aria-describedby=""l3description-1alboEPIXORAqqxIpFb3Oy""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" badge "")][1]_RELOC",class namebadge_SEL,xpath//html/body/header/nav/div[2]/div[2]/ul/li[2]/ul/li[3]/ul/li/ul/li/div/a/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" storefrontColophon "")]_RELOC",class namecell_SEL,xpath//html/body/footer/div[3]/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" contentTileGridItem__tile-4_copyContainer "")]_RELOC",class namecontentTileGridItem__tile-4_copyContainer_SEL,"xpath//*[@id=""7HBCWhDkSWR2W1mMSFuo37""]/div/div/div[2]/article[4]/div_SEL","//*[@data-context-text=""Insights & Analytics""]//*[@data-context-metadata=""{""itemIndex"":4,""navPanel"":null}""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" globalNav__linkL3 "")][1]_RELOC",xpath//html/body/header/nav/div[2]/div[2]/ul/li[2]/ul/li[4]/ul/li/ul/li[4]/div_SEL,"//*[@id=""l3description-137r3MmP5WykKfJrMVEMHn""]_RELOC",class namegn__descriptionCopy_SEL,idl3description-137r3MmP5WykKfJrMVEMHn_SEL,"xpath//*[@id=""l3description-137r3MmP5WykKfJrMVEMHn""]_SEL"
0,20220204230213,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
1,20220205233115,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
2,20220206234339,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
3,20220207232702,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
4,20220208225510,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
5,20220209233727,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
6,20220210233756,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
7,20220211234259,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
8,20220212223249,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
9,20220213234028,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
10,20220214230705,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
11,20220215233542,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
12,20220216234249,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
13,20220217234751,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
14,20220218233934,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
15,20220219233620,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
16,20220220232500,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
17,20220221232328,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
18,20220222234903,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
19,20220223222208,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
20,20220224232548,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True
