,0
0,20220305235251
1,20220306215427
2,20220307024521
3,20220308042754
4,20220309060319
5,20220310215247
6,20220311232514
7,20220312203439
8,20220313092006
9,20220314221732
10,20220315174439
11,20220316201601
12,20220317224812
13,20220318065450
14,20220319111608
15,20220320074305
16,20220321081945
17,20220322082157
18,20220323200609
19,20220324121503
20,20220325195851
21,20220326115225
22,20220327112304
23,20220328122405
24,20220329131906
25,20220331181915
26,20220401034928
27,20220402221318
28,20220403111218
29,20220404200729
30,20220405231806
31,20220406003129
32,20220407010325
33,20220408120543
34,20220409071725
35,20220410074147
36,20220411223856
37,20220412094119
38,20220413095230
39,20220414100735
40,20220415142401
41,20220416210450
42,20220417234609
43,20220418124850
44,20220419133621
45,20220420144920
46,20220421233132
47,20220422165013
48,20220423184344
49,20220424172400
50,20220425184502
51,20220426190113
52,20220427194214
53,20220428213242
54,20220429212916
55,20220430215407
56,20220501212706
57,20220502214351
58,20220503221236
59,20220504171216
60,20220505004624
61,20220506230151
62,20220507235231
63,20220508145856
64,20220509143019
65,20220510015744
66,20220511023644
67,20220512131736
68,20220513071700
69,20220514162134
70,20220515165414
71,20220516033802
72,20220517153320
73,20220518054751
74,20220519060853
75,20220520072017
76,20220521222139
77,20220522072308
78,20220523150730
79,20220524180324
80,20220525080125
81,20220526083145
82,20220527084834
83,20220528203224
84,20220529091524
85,20220530095305
86,20220531225315
87,20220601182953
88,20220602221237
89,20220603114355
90,20220604122354
91,20220605122432
92,20220606123650
93,20220607110918
94,20220608104729
95,20220609192440
96,20220610190836
97,20220611110034
98,20220612110643
99,20220613200834
100,20220614130138
101,20220615135809
102,20220616134136
103,20220617112637
104,20220618105746
105,20220619204138
106,20220620124550
107,20220621232430
108,20220622233755
109,20220623235814
110,20220624124305
111,20220625230717
112,20220626235548
113,20220627180529
114,20220628100947
115,20220629182418
116,20220630094844
117,20220701145508
118,20220702113947
119,20220703111025
120,20220704110801
121,20220705165340
122,20220706190114
123,20220707135525
124,20220708192807
125,20220709230358
126,20220710180345
127,20220711164903
128,20220712144325
129,20220713234404
130,20220714153418
131,20220715193226
132,20220716184137
133,20220717195536
134,20220718200805
135,20220719235221
136,20220721152757
137,20220722001719
138,20220723233206
139,20220724211734
140,20220725083856
141,20220726102306
142,20220727135342
143,20220728151752
144,20220729221850
145,20220730190109
146,20220731234818
147,20220801235015
148,20220802182920
149,20220803160545
150,20220804085535
151,20220805135408
152,20220806150746
153,20220807083316
154,20220808093008
155,20220809105210
156,20220810183432
157,20220811130248
158,20220812115232
159,20220813120736
160,20220814213950
161,20220815124834
162,20220816170311
163,20220817140159
164,20220818153735
165,20220819162316
166,20220820162714
167,20220821164304
168,20220822190658
169,20220823225307
170,20220824223647
171,20220825205549
172,20220826221349
173,20220827230000
174,20220828230648
175,20220829234857
176,20220830165405
177,20220831084141
178,20220901145511
179,20220902185606
180,20220903040400
181,20220904042606
182,20220905232416
183,20220906105149
184,20220907112130
185,20220908141911
186,20220909123054
187,20220910213446
188,20220911170433
189,20220912131826
190,20220913174836
191,20220914182022
192,20220915195701
193,20220916212149
194,20220917214026
195,20220918214701
196,20220919222714
197,20220920070207
198,20220921024318
199,20220922025056
