,0
0,20220206235954
1,20220207235835
2,20220209235739
3,20220214235752
4,20220215235949
5,20220216235650
6,20220217235823
7,20220218235928
8,20220222235954
9,20220223235839
10,20220224235947
11,20220225235935
12,20220227235811
13,20220228235643
14,20220302235939
15,20220304235930
16,20220310235806
17,20220311235515
18,20220312235556
19,20220314235852
20,20220315235913
21,20220316234852
22,20220318235317
23,20220320235751
24,20220321235824
25,20220322235620
26,20220324235819
27,20220328235935
28,20220330235803
29,20220331235814
30,20220401235602
31,20220402235926
32,20220406235919
33,20220416235947
34,20220417235504
35,20220420235705
36,20220421234103
37,20220422235552
38,20220425235836
39,20220426235400
40,20220429234841
41,20220503235955
42,20220505235720
43,20220506234828
44,20220509235725
45,20220512235832
46,20220514235951
47,20220526235901
48,20220527235817
49,20220528235753
50,20220602235914
51,20220607234605
52,20220608235703
53,20220609235912
54,20220613235653
55,20220614235534
56,20220619233613
57,20220620234428
58,20220624235559
59,20220625234056
60,20220628235912
61,20220630232606
62,20220701235757
63,20220703235530
64,20220704235812
65,20220705235101
66,20220706235434
67,20220707235126
68,20220708235857
69,20220710235954
70,20220712233038
71,20220714235929
72,20220719235654
73,20220721234946
74,20220722235600
75,20220724231030
76,20220725235555
77,20220726235305
78,20220727235354
79,20220729235943
80,20220730235835
81,20220801235929
82,20220806235745
83,20220807235825
84,20220809234919
85,20220810235705
86,20220811234734
87,20220813235210
88,20220814235226
89,20220815233914
90,20220816235358
91,20220818235632
92,20220821233303
