,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" l-banner-wrapper "")]_RELOC",class namel-banner-wrapper_SEL,xpath//html/body/div/div/header/div[2]_SEL,"//*[@about=""/field-collection/field-slide-field-collection/56""]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" homeslide-more-button "")][1]_RELOC",class namehomeslide-more-button_SEL,"xpath//*[@id=""flexslider-1""]/ul/li[2]/div/div[2]/p[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" tab-wrapper-healthinfo "")]/div[2]/div[2]/ul[1]/li[2]/a[1]/span[1]_RELOC",class nameminibadge-text_SEL,xpath//html/body/div/div/div/nav/ul/li[2]/div[2]/div[2]/ul/li[2]/a/span_SEL,"//*[@onclick=""location.href='https://web.archive.org/web/20220307215654/https://www.niddk.nih.gov/health-information/community-health-outreach/national-kidney-month'""]_RELOC",class nameds-1col_SEL,"xpath//*[@id=""flexslider-1""]/ul/li[2]/div/div_SEL","//*[@about=""/block/nih-at-a-glance-block""]/div[1]/div[2]/div[1]/div[1]_RELOC",class namemedia_SEL,"xpath//*[@id=""block-bean-nih-at-a-glance-block""]/div/div/div/div[2]/div/div_SEL","//*[@about=""/block/nih-at-a-glance-block""]/div[1]/div[4]/div[1]_RELOC",class nameteaser-thumbnail_SEL,"xpath//*[@id=""block-bean-nih-at-a-glance-block""]/div/div/div/div[4]/div_SEL",//footer[1]/ul[1]/li[5]_RELOC,xpath//html/body/div/div/div[3]/footer/ul/li[5]_SEL,"//*[@id=""file-361""]_RELOC",idfile-361_SEL,class namefile_SEL,"xpath//*[@id=""file-361""]_SEL","//*[@about=""/field-collection/field-slide-field-collection/13176""]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" homeslide-more-button "")][1]_RELOC","xpath//*[@id=""flexslider-1""]/ul/li[5]/div/div[2]/p[2]_SEL","//*[@id=""block-bean-home-slideshow-2l-block""]/div[1]_RELOC",class nameblock__content_SEL,"xpath//*[@id=""block-bean-home-slideshow-2l-block""]/div_SEL",//footer[1]/ul[1]/li[6]_RELOC,xpath//html/body/div/div/div[3]/footer/ul/li[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" l-connect "")]_RELOC",class namel-connect_SEL,"xpath//*[@id=""page-content""]/div[3]/div_SEL","//*[@about=""/block/nih-at-a-glance-block""]/div[1]/div[4]/div[1]/div[1]_RELOC","xpath//*[@id=""block-bean-nih-at-a-glance-block""]/div/div/div/div[4]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" tab-wrapper-research "")]/div[2]/div[2]_RELOC",class namemegamenu-col_SEL,xpath//html/body/div/div/div/nav/ul/li[5]/div[2]/div[2]_SEL,//footer[1]/p[2]_RELOC,xpath//html/body/div/div/div[3]/footer/p[2]_SEL,"//*[@about=""/block/featured-resources--initiatives""]/div[1]/div[1]/div[1]/p[1]_RELOC",class nameteaser-description_SEL,"xpath//*[@id=""block-bean-featured-resources-initiatives""]/div/div/div/div/div/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" slides "")]/li[2]_RELOC","xpath//*[@id=""flexslider-1""]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" tab-wrapper-healthinfo "")]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" megamenu-leftcol "")][1]/ul[1]/li[1]_RELOC",xpath//html/body/div/div/div/nav/ul/li[2]/div[2]/div/ul/li_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" field-group-html-element "")]/div[4]/div[1]_RELOC","xpath//*[@id=""block-bean-itn-block""]/div/div/div/div[4]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" field-group-html-element "")]/div[4]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" teaser-thumbnail "")][1]_RELOC","xpath//*[@id=""block-bean-itn-block""]/div/div/div/div[4]/div/p_SEL"
0,20220307215654,True,True,True,True,False,True,True,False,True,True,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
1,20220308234555,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
2,20220309233705,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
3,20220310214103,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
4,20220311232426,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
5,20220312233426,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
6,20220313220027,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
7,20220314213651,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
8,20220315233725,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
9,20220316170754,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
10,20220317173525,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
11,20220318221211,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
12,20220319231524,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
13,20220320234326,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
14,20220321214042,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
15,20220322222150,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
16,20220323214018,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
17,20220324214020,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
18,20220325225159,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
19,20220326215004,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
20,20220327175853,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
21,20220328214059,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
22,20220329235508,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
23,20220330231853,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
24,20220331233755,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
25,20220401230359,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
26,20220402214829,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
27,20220403214340,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
28,20220404234959,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
29,20220405220835,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,False
