,0
0,20220120221048
1,20220125234117
2,20220214235121
3,20220226225043
4,20220303223818
5,20220308233853
6,20220315133443
7,20220411233759
8,20220610233759
9,20220611234939
10,20220612233749
11,20220613235740
12,20220614194858
13,20220615010734
14,20220616203752
15,20220617154052
16,20220618225259
17,20220619233802
18,20220620233826
19,20220621223748
20,20220622233758
21,20220623233809
22,20220624223919
23,20220625224321
24,20220626233754
25,20220627233749
26,20220628233741
27,20220629214242
28,20220630233306
29,20220701110854
30,20220702233752
31,20220703233751
32,20220704225203
33,20220705225200
34,20220706232523
35,20220707220737
36,20220708232652
37,20220709234240
38,20220710233751
39,20220711103905
40,20220713135228
41,20220714113247
42,20220718192158
43,20220722135731
44,20220723205707
45,20220724224422
46,20220725144117
47,20220727164636
48,20220728142618
49,20220729153255
50,20220730231226
51,20220731165939
52,20220801174105
53,20220802232654
54,20220803205102
55,20220804212447
56,20220805204351
57,20220806081349
58,20220807135447
59,20220808182919
60,20220809192953
61,20220810215302
62,20220811235747
63,20220812230602
64,20220813193452
65,20220814213810
66,20220815233739
67,20220816233831
68,20220817233741
69,20220818233822
70,20220819162737
