,0
0,20191213073335
1,20191226003135
2,20200105132251
3,20200307224746
4,20200315112709
5,20200328195017
6,20200331065810
7,20200417055948
8,20200517125210
9,20200518212654
10,20200526055536
11,20200605220623
12,20200612222825
13,20200618022704
14,20200626195714
15,20200701224916
16,20200708230446
17,20200709005729
18,20200716143804
19,20200718084853
20,20200731053420
21,20200818204341
22,20200823024834
23,20201028014351
24,20201029024026
25,20201105234649
26,20201106230810
27,20201107220833
28,20201108185201
29,20201109185723
30,20201110040607
31,20201111032638
32,20201114170930
33,20201117062931
34,20201118200017
35,20201119161329
36,20201120161744
37,20201121181225
38,20201122181227
39,20201123181226
40,20201124184921
41,20201125075336
42,20201208204421
43,20201212185330
44,20201213134656
45,20201214065929
46,20201216085138
47,20201217004055
48,20201219163635
49,20201222181833
50,20201227134149
51,20210101222244
52,20210107014901
53,20210112062800
54,20210118002742
55,20210124013228
56,20210130183721
57,20210201143855
58,20210203044650
59,20210204151020
60,20210206080249
61,20210208190830
62,20210212055359
63,20210224221050
64,20210226094433
65,20210227020347
66,20210305004052
67,20210308204639
68,20210402125219
69,20210410205346
70,20210416104232
71,20210422231437
72,20210423115208
73,20210425120800
74,20210427123135
75,20210503115243
76,20210507133158
77,20210509081045
78,20210511092910
79,20210512080021
80,20210519061120
81,20210926234901
82,20210928042647
83,20211007213652
84,20211017021143
85,20211026071814
86,20211029070117
87,20211120035432
88,20211203054004
89,20211215051641
90,20211220082721
91,20220109042337
92,20220110223043
93,20220112064417
94,20220115155956
95,20220117144105
96,20220118200724
97,20220122094642
98,20220123105301
99,20220127103626
100,20220130191205
101,20220211090935
102,20220212080319
103,20220215190037
104,20220306193825
105,20220309142330
106,20220312095419
107,20220316060157
108,20220322023652
109,20220326042642
110,20220327164947
111,20220401221459
112,20220404235925
113,20220405112616
114,20220406221323
115,20220412011343
116,20220413112925
117,20220414030944
118,20220417051202
119,20220419125025
120,20220508230650
121,20220521080020
122,20220526071641
123,20220530085613
124,20220602010654
125,20220614175141
126,20220617184556
127,20220620115131
128,20220622124034
129,20220702225124
130,20220706232503
131,20220708231611
132,20220709183125
133,20220711130252
134,20220714181305
135,20220802234507
136,20220803103246
137,20220807152938
138,20220901121119
139,20220902122945
140,20220917051650
141,20220918210001
