,0
0,20200719041508
1,20200721104528
2,20200727194436
3,20200728110905
4,20200730105728
5,20200814065150
6,20200819192659
7,20200905004439
8,20200929171044
9,20201006172916
10,20201018200721
11,20201020184220
12,20201101011422
13,20201112013344
14,20201125045105
15,20201206015456
16,20201209161655
17,20201230182641
18,20210130190707
19,20210217085553
20,20210227013942
21,20210304211104
22,20210310114225
23,20210329132151
24,20210405015309
25,20210424182054
26,20210502175700
27,20210516201306
28,20210607205117
29,20210616032220
30,20210623040429
31,20210701040254
32,20210708050159
33,20210709041019
34,20210724181831
35,20210811195426
36,20210820083813
37,20210826094450
38,20210827090941
39,20210903094013
40,20210910100316
41,20210912135016
42,20210913213341
43,20210914110832
44,20210916152505
45,20210917202502
46,20210927010421
47,20211004133809
48,20211005012327
49,20211012023802
50,20211019031312
51,20211020014750
52,20211027020638
53,20211103084609
54,20211110040716
55,20211113083908
56,20211117051055
57,20211121214517
58,20211124060754
59,20211125072348
60,20211201225507
61,20211202140849
62,20211204215658
63,20211208002837
64,20211209013831
65,20211213202309
66,20211220234440
67,20211228114103
68,20220101084048
69,20220104231425
70,20220108175106
71,20220111235951
72,20220116123056
73,20220119024930
74,20220120155412
75,20220123040225
76,20220124201019
77,20220127101505
78,20220131212101
79,20220201211800
80,20220207220657
81,20220214230142
82,20220215214505
83,20220217161753
84,20220220215903
85,20220221225521
86,20220222225014
87,20220301232527
88,20220303224335
89,20220308235546
90,20220310112716
91,20220312051401
92,20220313154332
93,20220317013021
94,20220324022013
95,20220331025154
96,20220402112758
97,20220406221335
98,20220408120544
99,20220414105340
100,20220415024941
101,20220422030544
102,20220429033811
103,20220501193756
104,20220503205353
105,20220506035853
106,20220507021009
107,20220514023842
108,20220521030207
109,20220527071454
110,20220528032752
111,20220529022722
112,20220531003601
113,20220605023337
114,20220612025311
115,20220613053620
116,20220616165029
117,20220619030659
118,20220624073041
119,20220626031458
120,20220627170814
121,20220701030336
122,20220704172853
123,20220706170909
124,20220711180209
125,20220712095625
126,20220718193306
127,20220719180759
128,20220720062916
129,20220724123718
130,20220801210053
131,20220802022331
132,20220806090619
133,20220807014616
134,20220808224137
135,20220809082552
136,20220810202034
137,20220811212419
138,20220813192403
139,20220814190603
140,20220816213729
141,20220827063049
142,20220828162900
143,20220829153738
144,20220830152717
145,20220901061438
146,20220902234714
147,20220912161909
148,20220914001854
149,20220918185209
