,0
0,20220209224734
1,20220302222718
2,20220318214014
3,20220327235843
4,20220401221624
5,20220419223658
6,20220423232819
7,20220508222741
8,20220519234659
9,20220524231210
10,20220604233805
11,20220606222211
12,20220626213724
13,20220716210951
14,20220721233815
15,20220724223644
16,20220727215620
17,20220728235625
18,20220729235258
19,20220730232008
20,20220731234647
21,20220801235220
22,20220802235333
23,20220803223734
24,20220804225002
25,20220805225658
26,20220806212449
27,20220807220113
28,20220808224318
29,20220809225258
30,20220810230950
31,20220811225722
32,20220812233238
33,20220813214744
34,20220814214105
35,20220815232624
36,20220816212129
37,20220817235429
38,20220818192313
39,20220819214525
40,20220820201135
41,20220821201014
42,20220822193753
