,0
0,20220228033207
1,20220302175732
2,20220303053749
3,20220304203757
4,20220307163212
5,20220308181428
6,20220312160031
7,20220313040430
8,20220314101152
9,20220315042116
10,20220316161004
11,20220317112652
12,20220318002257
13,20220319004021
14,20220320235006
15,20220321034841
16,20220322232437
17,20220324003705
18,20220325082403
19,20220326134908
20,20220327020936
21,20220328030040
22,20220329012644
23,20220330200111
24,20220331230915
25,20220401235954
26,20220402000548
27,20220403003655
28,20220404193817
29,20220405185522
30,20220406221513
31,20220407215957
32,20220408120544
33,20220409030657
34,20220410033703
35,20220411041740
36,20220412044237
37,20220413133750
38,20220414092258
39,20220415062411
40,20220416070529
41,20220417232143
42,20220418114514
43,20220419085952
44,20220420094345
45,20220421101326
46,20220422104327
47,20220423150630
48,20220424114725
49,20220425120243
50,20220426101801
51,20220427103122
52,20220428110412
53,20220429115006
54,20220430121906
55,20220501122653
56,20220502225155
57,20220503134328
58,20220504173616
59,20220505145746
60,20220506152347
61,20220507153941
62,20220508161340
63,20220509163801
64,20220510170334
65,20220511175435
66,20220512183801
67,20220513190938
68,20220514192530
69,20220515203453
70,20220516210510
71,20220517192404
72,20220518195925
73,20220519204314
74,20220520211741
75,20220521212114
76,20220522222025
77,20220523214234
78,20220526225644
79,20220527232910
80,20220528233846
81,20220529234524
82,20220531000706
83,20220601004445
84,20220602013454
85,20220603023219
86,20220604190837
87,20220605095320
88,20220606032939
89,20220607042000
90,20220608042720
91,20220609064846
92,20220610032652
93,20220611182322
94,20220612130142
95,20220613115535
96,20220614052510
97,20220615060422
98,20220616062412
99,20220617114058
100,20220618072731
101,20220619192943
102,20220620125052
103,20220621091156
104,20220622071758
105,20220623075647
106,20220624212209
107,20220625163641
108,20220626110931
109,20220627101457
110,20220628104554
111,20220629113110
112,20220630120834
113,20220701121757
114,20220702125703
115,20220703230203
116,20220704191900
117,20220705214922
118,20220706234607
119,20220707233208
120,20220708234131
121,20220709234559
122,20220710231508
123,20220711235018
124,20220712234027
125,20220713235221
126,20220714233153
127,20220715225540
128,20220716201924
129,20220717224956
130,20220718221532
131,20220719223329
132,20220720225111
133,20220721211435
134,20220722223242
135,20220723225214
136,20220724235036
137,20220725163518
138,20220726210206
139,20220727214255
140,20220728210242
141,20220729135003
142,20220730140305
143,20220731145850
144,20220801203218
145,20220802215046
146,20220803235945
147,20220804233204
148,20220805204046
149,20220806234048
150,20220807215635
151,20220808215703
152,20220809201007
153,20220810221611
154,20220811221130
155,20220812215141
156,20220813222740
157,20220814232550
158,20220815165411
159,20220816144941
160,20220817235710
161,20220818173032
162,20220819224336
163,20220820232358
164,20220821190731
165,20220822195211
166,20220823230201
167,20220824200251
168,20220825194231
169,20220826194503
170,20220827200747
171,20220828230157
172,20220829191332
173,20220830183053
174,20220831224529
175,20220901192231
176,20220902193139
177,20220903233603
178,20220904235940
179,20220905234917
180,20220906231901
181,20220907233531
182,20220908214715
183,20220909224643
184,20220910233400
185,20220911225050
186,20220912201154
187,20220913175339
188,20220914091600
189,20220915214322
190,20220916194724
191,20220917234908
192,20220918165236
193,20220919223821
194,20220920043143
195,20220921074001
