,0
0,20220306092706
1,20220307110258
2,20220308124301
3,20220309141743
4,20220310151603
5,20220311155439
6,20220312191055
7,20220313182212
8,20220314205950
9,20220315074843
10,20220316233514
11,20220317081951
12,20220318120346
13,20220319091156
14,20220320115640
15,20220321054440
16,20220322063207
17,20220323074418
18,20220324082634
19,20220325192927
20,20220326104316
21,20220327122841
22,20220328125311
23,20220329205453
24,20220330195107
25,20220331205434
26,20220401215816
27,20220402225301
28,20220403234559
29,20220404121121
30,20220405063108
31,20220406095854
32,20220407040015
33,20220408074247
34,20220409081258
35,20220410154857
36,20220411090020
37,20220412190622
38,20220413131719
39,20220414102424
40,20220415140619
41,20220416113811
42,20220417121135
43,20220418125402
44,20220419144605
45,20220420194041
46,20220421151403
47,20220422184230
48,20220423173055
49,20220424200709
50,20220425235717
51,20220426183042
52,20220427190538
53,20220428202508
54,20220429210247
55,20220430210753
56,20220501214518
57,20220502222746
58,20220503230711
59,20220504233042
60,20220505234133
61,20220506235527
62,20220507130447
63,20220508204314
64,20220509170421
65,20220510005913
66,20220511011241
67,20220512020140
68,20220513172029
69,20220514170214
70,20220515205652
71,20220516094443
72,20220517094159
73,20220518060021
74,20220519061828
75,20220520232851
76,20220521183341
77,20220522152605
78,20220523103518
79,20220524165507
80,20220525093713
81,20220526202626
82,20220527105943
83,20220528212800
84,20220529232651
85,20220530162111
86,20220531234409
87,20220601134602
88,20220602143957
89,20220603150057
90,20220604152834
91,20220605174623
92,20220606161822
93,20220607162754
94,20220608163430
95,20220609171456
96,20220610173854
97,20220611180634
98,20220612184717
99,20220613192304
100,20220614200327
101,20220615232949
102,20220616213944
103,20220617214948
104,20220618222606
105,20220619224400
106,20220620224953
107,20220621232754
108,20220622233833
109,20220623180953
110,20220624220206
111,20220625004908
112,20220626130425
113,20220627165328
114,20220628222738
115,20220629040252
116,20220630131113
117,20220701154240
118,20220702181315
119,20220703221804
120,20220704043351
121,20220705231726
122,20220706163947
123,20220707232756
124,20220708064250
125,20220709072222
126,20220710140703
127,20220711075244
128,20220712222320
129,20220713125734
130,20220714210338
131,20220715114424
132,20220716170728
133,20220717211424
134,20220718133152
135,20220719201635
136,20220720220303
137,20220721230924
138,20220722234411
139,20220724002344
140,20220725140050
141,20220726043958
142,20220727052100
143,20220728211128
144,20220729235807
145,20220730065022
146,20220731103240
147,20220801183213
148,20220802153009
149,20220803124332
150,20220804091246
151,20220805093229
152,20220806095539
153,20220807221135
154,20220808103746
155,20220809110353
156,20220810122930
157,20220811224438
158,20220812132033
159,20220813135342
160,20220814212209
161,20220815151109
162,20220816213334
163,20220817163459
164,20220818165653
165,20220819171759
166,20220820191017
167,20220821183943
168,20220822201859
169,20220823213544
170,20220824222347
171,20220825232544
172,20220826235516
173,20220827012635
174,20220828000739
175,20220829055236
176,20220830011024
177,20220831012445
178,20220901231903
179,20220902222049
180,20220903100212
181,20220904032039
182,20220905225833
183,20220906190203
184,20220907112956
185,20220908233429
186,20220909060206
187,20220910062040
188,20220911185720
189,20220912064931
190,20220913101838
191,20220914104136
192,20220915073304
193,20220916113531
194,20220917082752
195,20220918113113
196,20220919091059
197,20220921094743
