,0
0,20200530015955
1,20200601111851
2,20200603004959
3,20200605185655
4,20200606045349
5,20200609074013
6,20200610112342
7,20200612113042
8,20200617180755
9,20200622075304
10,20200624130732
11,20200629003216
12,20200708144319
13,20200715145902
14,20200722161402
15,20200723033508
16,20200729165237
17,20200805174916
18,20200902035313
19,20200905012844
20,20200917080259
21,20200922163926
22,20200924023119
23,20200925040349
24,20200929171131
25,20201006191311
26,20201013194823
27,20201017181930
28,20201018180537
29,20201020202218
30,20201023024143
31,20201027211618
32,20201031065550
33,20201101110435
34,20201107151144
35,20201112044817
36,20201209233501
37,20201216230447
38,20210119071807
39,20210210095419
40,20210217092229
41,20210224184206
42,20210226221137
43,20210304215004
44,20210312233000
45,20210317091758
46,20210320014111
47,20210413040137
48,20210417204625
49,20210418031344
50,20210502211040
51,20210509185947
52,20210516203323
53,20210606215807
54,20210613225218
55,20210620235731
56,20210628165313
57,20210629152431
58,20210706160326
59,20210707145954
60,20210714155803
61,20210722151437
62,20210723134747
63,20210725154417
64,20210728230054
65,20210811184018
66,20210820172602
67,20210826071403
68,20210903205232
69,20210917220643
70,20210918220429
71,20210920185648
72,20210926175834
73,20210927194744
74,20210928184152
75,20211005204145
76,20211006101907
77,20211007090703
78,20211008205302
79,20211012210423
80,20211019220629
81,20211020213826
82,20211026231233
83,20211027215108
84,20211104004049
85,20211111022124
86,20211118042657
87,20211122213710
88,20211125070018
89,20211202081036
90,20211210020940
91,20211213224234
92,20211219061904
93,20211220230142
94,20211228000539
95,20220104005025
96,20220109035651
97,20220111021144
98,20220118223106
99,20220124193742
100,20220130040231
101,20220131204217
102,20220201061447
103,20220207211217
104,20220208201018
105,20220213053724
106,20220215213308
107,20220216001403
108,20220218064101
109,20220222214754
110,20220223202347
111,20220302211118
112,20220307102502
113,20220317020858
114,20220323142934
115,20220329164926
116,20220330020712
117,20220401000556
118,20220406221630
119,20220414065707
120,20220428080218
121,20220512093825
122,20220519103916
123,20220520112344
124,20220526112856
125,20220531211135
126,20220601000751
127,20220602125651
128,20220607124124
129,20220609133810
130,20220616124755
131,20220621063412
132,20220623131724
133,20220624011127
134,20220630135432
135,20220714151826
136,20220715125948
137,20220720153741
138,20220725190108
139,20220804112421
140,20220814182849
141,20220826004522
142,20220904110013
143,20220916030712
