,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" AssemblyTextButton--inverted "")]/span[1]_RELOC","xpath//*[@id=""TopNavigationReactTarget""]/header/div/div[2]/div[2]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" PrismicTextCallout-carouselItemDescription "")]_RELOC",class namePrismicTextCallout-carouselItemDescription_SEL,"xpath//*[@id=""PrismicMediaCarouselTarget""]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" PrismicTextCallout-carousel "")]_RELOC",class namePrismicTextCallout-carousel_SEL,"xpath//*[@id=""PrismicMediaCarouselTarget""]/div_SEL",//main[1]/section[7]/div[1]/div[1]/div[1]/div[1]_RELOC,class namePrismicTextCallout-title_SEL,"xpath//*[@id=""page""]/section[7]/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" SiteCreateIconButton-xhp "")]/a[1]/span[1]_RELOC","xpath//*[@id=""TopNavigationReactTarget""]/header/div/div/div[2]/div[3]/a/span_SEL","//*[@onclick=""if(window.logPageAction){window.logPageAction('topic_prismic',{currentUrl:window.location.pathname,nextUrl:'/topic/arts-and-humanities/'});}""]/span[1]_RELOC","xpath//*[@id=""PrismicTopicLinksTarget""]/div[3]/a/span_SEL",//main[1]/section[7]/div[1]_RELOC,class nameUIContainer_SEL,"xpath//*[@id=""page""]/section[7]/div_SEL",//main[1]/section[3]/div[1]/div[1]_RELOC,class namePrismicTextCallout-content_SEL,"xpath//*[@id=""page""]/section[3]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" SiteFooter-socialAndCopyright "")]/div[1]/div[1]/div[1]/span[2]_RELOC",class nameUIIconButton_SEL,xpath//html/body/div[2]/footer/div/div[2]/section/div/div/div/span[2]_SEL,//main[1]/section[9]/div[1]_RELOC,"xpath//*[@id=""page""]/section[9]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" PrismicTopicSubject--Languages "")]_RELOC",class namePrismicTopicSubject_SEL,"xpath//*[@id=""PrismicTopicLinksTarget""]/div_SEL","//*[@onclick=""if (Quizlet.trackPrismicCTAClick) Quizlet.trackPrismicCTAClick('hero-module-signup');var x=Quizlet.openSignupModal;return !x||!x({""signupOrigin"":""info-page-cta"",""screenName"":""none/homepage""})&&!1""]/span[1]_RELOC",class nameUIButton-wrapper_SEL,"xpath//*[@id=""page""]/section/div/div/div[2]/div[3]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" PrismicTextCallout--fullCover "")]/div[1]_RELOC","xpath//*[@id=""page""]/section[8]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" PrismicTextCallout--carousel "")]/div[1]/div[1]_RELOC","xpath//*[@id=""page""]/section/div/div_SEL","//*[@name=""cstoken""]_RELOC",namecstoken_SEL,xpath//html/body/div[2]/footer/div/div/div/div[5]/div/div/div/div/div/form/input_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" PrismicTextCallout--fullCover "")]/div[1]/div[1]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" PrismicTextCallout-title "")][1]_RELOC","xpath//*[@id=""page""]/section[8]/div/div/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" TopNavigation-contentLeft "")]_RELOC",class nameTopNavigation-contentLeft_SEL,"xpath//*[@id=""TopNavigationReactTarget""]/header/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" SiteFooter-flexContainer "")]/div[4]/div[1]/div[1]_RELOC",class nameUIRow_SEL,xpath//html/body/div[2]/footer/div/div/div/div[4]/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" PrismicTopicLinks-inner "")]_RELOC",class namePrismicTopicLinks-inner_SEL,"xpath//*[@id=""page""]/section[4]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" SiteNavLoginSection "")]_RELOC",class nameSiteNavLoginSection_SEL,"xpath//*[@id=""TopNavigationReactTarget""]/header/div/div[2]/div[2]_SEL"
0,20210318203611,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
1,20210319200453,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
2,20210320115614,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
3,20210321224922,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
4,20210322165514,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,0,1,1,1,1,6,0,5,1,1,1,1,8,1,1,0,1,3,1,1,2,1,5,0,1,1,1,1,1,1
5,20210323162323,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,0,1,1,1,1,6,0,5,1,1,1,1,8,1,1,0,1,3,1,1,2,1,5,0,1,1,1,1,1,1
6,20210325220507,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,0,1,1,1,1,6,0,5,1,1,1,1,8,1,1,0,1,3,1,1,2,1,5,0,1,1,1,1,1,1
7,20210326024131,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
8,20210327095151,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
9,20210328181525,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
10,20210329074222,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,0,1,1,1,1,6,0,5,1,1,1,1,8,1,1,0,1,3,1,1,2,1,5,0,1,1,1,1,1,1
11,20210330235751,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,0,1,1,1,1,6,0,5,1,1,1,1,8,1,1,0,1,3,1,1,2,1,5,0,1,1,1,1,1,1
12,20210331054944,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,0,1,1,1,1,6,0,5,1,1,1,1,8,1,1,0,1,3,1,1,2,1,5,0,1,1,1,1,1,1
13,20210401165754,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
14,20210402105855,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,0,1,1,1,1,6,0,5,1,1,1,1,8,1,1,0,1,3,1,1,2,1,5,0,1,1,1,1,1,1
15,20210403220450,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
16,20210404223043,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
17,20210405133417,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
18,20210406084234,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,0,1,1,1,1,6,0,5,1,1,1,1,8,1,1,0,1,3,1,1,2,1,5,0,1,1,1,1,1,1
19,20210407074229,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
20,20210408134423,1,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,7,1,1,3,1,1,1,1,1,6,0,5,1,1,1,1,8,1,1,2,1,3,1,1,2,1,5,1,1,1,1,1,1,1
