,0
0,20211210204503
1,20211211131131
2,20211213235010
3,20211214221417
4,20211215131755
5,20211216200457
6,20211217154323
7,20211218234205
8,20211219223515
9,20211220234802
10,20211221230938
11,20211222224421
12,20211223140611
13,20211224230739
14,20211225224852
15,20211226110027
16,20211227235148
17,20211228234648
18,20211229101619
19,20211230231313
20,20211231164512
21,20220101214248
22,20220102225340
23,20220103235235
24,20220104234345
25,20220105230426
26,20220106222656
27,20220107231328
28,20220108214802
29,20220109235849
30,20220110130842
31,20220111225931
32,20220112230629
33,20220113120540
34,20220114192813
35,20220115220306
36,20220116160517
37,20220117222118
38,20220118202227
39,20220119163157
40,20220120205724
41,20220121225407
42,20220122225738
43,20220123214005
44,20220124232326
45,20220125213115
46,20220126210623
47,20220127084324
48,20220128183636
49,20220129101434
50,20220130171706
51,20220201235624
52,20220202203500
53,20220203192454
54,20220204180854
55,20220205190200
56,20220206232610
57,20220207232506
58,20220208232421
59,20220209220949
60,20220210204522
61,20220211214959
62,20220212224633
63,20220213224312
64,20220214234450
65,20220215235024
66,20220216220144
67,20220217230320
68,20220218215755
69,20220219104609
70,20220220050843
71,20220221221331
72,20220222225928
73,20220223232203
74,20220224233710
75,20220225214315
76,20220226195817
77,20220227221109
78,20220228224251
79,20220301233211
80,20220302233321
81,20220303191614
82,20220304215521
83,20220305144613
84,20220306214235
85,20220307235717
86,20220308232420
87,20220309152729
88,20220310223718
89,20220311224106
90,20220312224328
91,20220313234951
92,20220314221121
93,20220315200707
94,20220316213850
95,20220317172546
96,20220318174310
97,20220319162540
98,20220320212307
99,20220321192809
100,20220322195431
101,20220323134906
102,20220324130814
103,20220325234742
104,20220326190926
105,20220327153455
106,20220328220220
107,20220329105701
108,20220330182013
109,20220331231711
110,20220401234406
111,20220402225735
112,20220403223827
113,20220404215109
114,20220405210813
115,20220406230551
116,20220407220801
117,20220408221219
118,20220409221216
119,20220410231218
120,20220411231417
121,20220412234936
122,20220413235953
123,20220414235932
124,20220415235857
125,20220416235926
126,20220417235839
127,20220418235936
128,20220419235929
129,20220420235919
130,20220421235918
131,20220422235904
132,20220423235910
133,20220424235937
134,20220425235947
135,20220426235929
136,20220427235916
137,20220428235914
138,20220429235959
139,20220430235946
140,20220501235954
141,20220502235959
142,20220503235926
143,20220504235950
144,20220505235921
145,20220506235958
146,20220507235950
147,20220508235745
148,20220509235925
149,20220510235925
150,20220511235948
151,20220512235335
152,20220513235712
153,20220514235921
154,20220515235934
155,20220516235952
156,20220517235924
157,20220518235939
158,20220519235953
159,20220520235924
160,20220521235917
161,20220522235931
162,20220523235837
163,20220524235953
164,20220525235949
165,20220526235744
166,20220527235927
167,20220528235745
168,20220529235938
169,20220530235958
170,20220531235954
171,20220601235927
172,20220602235956
173,20220603235912
174,20220604235957
175,20220605235901
176,20220606235929
177,20220607235948
178,20220608235918
179,20220609235957
180,20220610235836
181,20220611235945
182,20220612235658
183,20220613235958
184,20220614235727
185,20220615235659
186,20220616235947
187,20220617235912
188,20220618234258
189,20220619235233
190,20220620235813
191,20220621235614
192,20220622235844
193,20220623235603
194,20220624235840
195,20220625235429
196,20220626235654
197,20220627223525
198,20220628041907
