,0
0,20220204235057
1,20220205231818
2,20220206232623
3,20220207234722
4,20220208231502
5,20220209234352
6,20220210235242
7,20220211224357
8,20220212234233
9,20220213233948
10,20220214235947
11,20220215235453
12,20220216234256
13,20220217235641
14,20220218225005
15,20220219224936
16,20220220235516
17,20220221235004
18,20220222234222
19,20220223233030
20,20220224234548
21,20220225235107
22,20220226235957
23,20220227230557
24,20220228232007
25,20220301234818
26,20220303225628
27,20220304235337
28,20220305235759
29,20220307234903
30,20220310232735
31,20220311234803
32,20220318230219
33,20220319234142
34,20220321233644
35,20220322235853
36,20220323235853
37,20220324235821
38,20220325235803
39,20220326235706
40,20220327235456
41,20220328230358
42,20220329234814
43,20220330233956
44,20220331235605
45,20220404225611
46,20220406234637
47,20220417234633
48,20220418235046
49,20220420225432
50,20220421223933
51,20220422234220
52,20220426235635
53,20220428235800
54,20220430234644
55,20220502214345
56,20220503230636
57,20220504234332
58,20220506235017
59,20220508234236
60,20220514232312
61,20220515235117
62,20220516234024
63,20220517230442
64,20220518210638
65,20220527233138
66,20220528224254
67,20220531224456
68,20220601233747
69,20220602234127
70,20220606220131
71,20220607220330
72,20220609233121
73,20220610231739
74,20220611225713
75,20220612235808
76,20220613230111
77,20220614235652
78,20220615220004
79,20220616223131
80,20220617232249
81,20220618224013
82,20220619231326
83,20220620210559
84,20220621230214
85,20220622222818
86,20220623234139
87,20220624235615
88,20220625235222
89,20220626223242
90,20220627233813
91,20220628230328
92,20220629233456
93,20220630235603
94,20220701234740
95,20220702213154
96,20220703233138
97,20220704225333
98,20220705210242
99,20220706230058
100,20220710234534
101,20220714234601
102,20220716235459
103,20220719225533
104,20220720234900
105,20220723221942
106,20220725234524
107,20220727233443
108,20220728234153
109,20220731233955
110,20220802224213
111,20220803234528
112,20220804234615
113,20220807223853
114,20220808230525
115,20220810224247
116,20220813234756
117,20220818234933
118,20220819225259
119,20220820231653
120,20220821195939
