,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keywords "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keyword-item "")][10]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keyword-badge "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keyword-name "")][1]_RELOC",class nameindex-connect__keyword-name_SEL,"xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div[3]/div[2]/div/div[10]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-footer__base "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][6]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gtm-home-footer-other "")][1]/span[1]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[4]/div/div[2]/div/div[2]/div[6]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-signup__join-btn-label "")]_RELOC",class nameindex-signup__join-btn-label_SEL,"xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div[7]/div/a/div/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gtm-home-footer-qa-directory "")]/span[1]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[4]/div/div[2]/div/div[2]/div[2]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-footer__base "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][1]_RELOC",class namenova-legacy-l-flex__item_SEL,"xpath//*[@id=""rgw1_6225496da94fd""]/div/div[4]/div/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-footer__base "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][2]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[4]/div/div[2]/div/div[2]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-content "")]_RELOC",class nameindex-content_SEL,"xpath//*[@id=""rgw1_6225496da94fd""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-discover__content "")]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-footer__base "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][6]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[4]/div/div[2]/div/div[2]/div[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keywords "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keyword-item "")][2]_RELOC",class nameindex-connect__keyword-item_SEL,"xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div[3]/div[2]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-discover "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-discover__img "")][1]_RELOC",class nameindex-discover__img_SEL,"xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keywords "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keyword-item "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keyword-badge "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keyword-name "")][1]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div[3]/div[2]/div/div[2]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-content "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][1]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__content "")]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-stats__content "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-section__strapline "")][1]_RELOC",class nameindex-section__strapline_SEL,"xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div[5]/div/p_SEL",//*button_RELOC,"xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div/div/div/div/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keywords "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" index-connect__keyword-item "")][5]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[3]/div[3]/div[2]/div/div[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-header__menu "")]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-footer__base "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" nova-legacy-l-flex__item "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gtm-home-footer-other "")][1]/span[1]_RELOC","xpath//*[@id=""rgw1_6225496da94fd""]/div/div[4]/div/div[2]/div/div/div[2]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" index-main__socials "")]_RELOC",class nameindex-main__socials_SEL,"xpath//*[@id=""rgw1_6225496da94fd""]/div/div[2]/div/div_SEL"
0,20220306235322,1,10,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,7,1,1,1,10,1,1,1,3,1,1,1,1,1,2,1,3,1,0,1,1,1,1,5,1,2,1,1,3
1,20220307235950,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
2,20220308235851,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
3,20220309235218,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
4,20220310235655,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
5,20220311230832,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
6,20220312233609,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
7,20220313233220,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
8,20220314235320,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
9,20220315233054,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
10,20220316225327,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
11,20220317235739,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
12,20220318232101,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
13,20220319234452,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
14,20220320235443,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
15,20220321235812,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
16,20220322232811,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
17,20220323235435,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
18,20220324235906,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
19,20220325223618,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
20,20220326234031,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
21,20220327234917,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
22,20220328232752,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
23,20220329225801,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
24,20220330234436,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
25,20220331234638,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
26,20220401235929,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
27,20220402235943,1,10,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,10,0,1,1,0,1,0,1,0,1,0,1,3,0,0,0,1,0,1,0,1,0,1,1,0
