,Timestamp,"//form[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" hidden-md "")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" news-list "")][1]_RELOC",class namenews-list_SEL,"xpath//*[@id=""aspnetForm""]/div[3]/div[2]/div[3]/div[2]_SEL","//*[@id=""menu1""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" owl-tabLay "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item "")][4]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsimg-area-item "")][1]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsimg-area-text-date "")][1]_RELOC",class namenewsimg-area-text-date_SEL,"xpath//*[@id=""menu1""]/div/div[4]/div/a/div[4]_SEL","//*[@id=""owl-Project""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item "")][8]_RELOC",class nameitem_SEL,"xpath//*[@id=""owl-Project""]/div[8]_SEL","//*[@id=""owl-Project""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item "")][4]/*[contains(concat("" "", normalize-space(@class), "" ""), "" news-list "")][1]/ul[1]/li[1]_RELOC","xpath//*[@id=""owl-Project""]/div[4]/div[2]/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" contLeft "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-12 "")][12]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsimg-title-area "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsimg-area-item-title "")][1]_RELOC",class namenewsimg-area-item-title_SEL,"xpath//*[@id=""contFix""]/div/div[2]/div/div[12]/div/div_SEL","//*[@id=""owl-demo""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item "")][8]_RELOC","xpath//*[@id=""owl-demo""]/div[8]_SEL","//*[@id=""gad_setn_side_300x600""]_RELOC",idgad_setn_side_300x600_SEL,"xpath//*[@id=""gad_setn_side_300x600""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-area-box "")]/li[1]_RELOC",xpath//html/body/footer/div[2]/ul/li_SEL,"//*[@id=""owl-Project""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item "")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" news-list "")][1]_RELOC","xpath//*[@id=""owl-Project""]/div[3]/div[2]_SEL","//form[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" maintop-area "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-4 "")][1]_RELOC",class namecol-lg-3_SEL,"xpath//*[@id=""aspnetForm""]/div[2]/div/div/div[2]_SEL","//*[@id=""menu9""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" owl-tabLay "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item "")][9]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsimg-area-item "")][1]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsimg-area-text "")][1]_RELOC",class namenewsimg-area-text_SEL,"xpath//*[@id=""menu9""]/div/div[9]/div/a/div[2]_SEL","//*[@id=""bar_ad""]_RELOC",idbar_ad_SEL,class namemeta_ad_SEL,"xpath//*[@id=""bar_ad""]_SEL","//*[@id=""menu1""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" owl-tabLay "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsimg-area-item "")][1]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" player-icon "")][1]_RELOC",class nameplayer-icon_SEL,"xpath//*[@id=""menu1""]/div/div/div/a/div_SEL","//*[@src=""https://web.archive.org/web/20220112150957im_/https://attach.setn.com/newsimages/2022/01/12/3488414-PH.jpg""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" top-live-area-text "")][1]_RELOC",class nametop-live-area-text_SEL,"xpath//*[@id=""aspnetForm""]/div[2]/div/div/div[3]/div[2]/div[3]/div/div/a/img/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" top-hot-list2 "")]/ul[1]/li[7]_RELOC","xpath//*[@id=""aspnetForm""]/div[5]/div[3]/div[2]/ul/li[7]_SEL","//*[@data-id=""218""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" top-second-nav "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" MenuList "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" subMenuItem "")][11]_RELOC",class namesubMenuItem_SEL,"xpath//*[@id=""menuNav""]/ul/li[12]/div/ul/li[11]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" page-keyword-area "")]_RELOC",class namekeyword_SEL,"xpath//*[@id=""contFix""]/div/div[2]/div[7]/div[2]/div_SEL","//*[@id=""gad_setn_home_900x280""]_RELOC",idgad_setn_home_900x280_SEL,class namead-900x280_SEL,"xpath//*[@id=""gad_setn_home_900x280""]_SEL","//*[@id=""owl-photo""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item "")][8]_RELOC","xpath//*[@id=""owl-photo""]/div[8]_SEL","//*[@id=""menu1""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" owl-tabLay "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item "")][5]_RELOC","xpath//*[@id=""menu1""]/div/div[5]_SEL"
0,20220112150957,0,31,1,1,48,1,1,93,1,1,4,1,18,2,1,1,1,1,1,1,3,1,1,1,2,1,1,69,1,1,1,1,1,1,19,48,0,3,0,1,1,1,81,1,1,1,1,1,1,1,1,1,1,1,1
1,20220113052840,0,31,1,1,48,1,1,94,1,1,4,1,18,2,1,1,1,1,1,1,3,1,1,1,2,1,1,69,1,1,1,1,1,1,19,48,0,3,0,1,0,1,81,1,1,1,1,1,1,1,1,1,1,1,1
2,20220114064233,0,29,1,1,48,1,1,96,1,1,4,1,16,2,1,1,1,1,1,1,3,1,1,1,2,1,1,67,1,1,1,1,1,1,18,48,0,3,0,1,0,1,81,1,1,1,1,1,1,1,1,1,1,1,1
3,20220118170432,0,31,1,1,48,1,1,93,1,1,4,1,18,2,1,1,1,1,1,1,3,1,1,1,2,1,1,69,1,1,1,1,1,1,20,48,0,3,0,1,1,1,81,1,1,1,1,1,1,1,1,1,1,1,1
4,20220119091133,0,31,1,1,48,1,1,94,1,1,4,1,18,2,1,1,1,1,1,1,3,1,1,1,2,1,1,69,1,1,1,1,1,1,19,48,0,3,0,1,1,1,81,1,1,1,1,1,1,1,1,1,1,1,1
5,20220122065146,0,31,1,1,48,1,1,93,1,1,4,1,18,2,1,1,1,1,1,1,3,1,1,1,2,1,1,69,1,1,1,1,1,1,22,48,0,3,0,1,1,1,81,0,1,1,1,1,1,1,1,1,1,1,1
6,20220123122823,0,31,1,1,48,1,1,93,1,1,4,1,18,2,1,1,1,1,1,1,3,1,1,1,2,1,1,69,1,1,1,1,1,1,22,48,0,3,0,1,1,1,81,0,1,1,1,1,1,1,1,1,1,1,1
7,20220125064742,0,29,1,1,48,1,1,97,1,1,4,1,16,2,1,1,1,1,1,1,3,1,1,1,2,1,1,67,1,1,1,1,1,1,20,48,0,3,0,1,0,1,81,1,1,1,1,1,1,1,1,1,1,1,1
8,20220126015452,0,29,1,1,48,1,1,95,1,1,4,1,16,2,1,1,1,1,1,1,3,1,1,1,2,1,1,67,1,1,1,1,1,1,18,48,0,3,0,1,1,1,81,1,1,1,1,1,1,1,1,1,1,1,1
9,20220127041727,0,29,1,1,48,1,1,96,1,1,4,1,16,2,1,1,1,1,1,1,3,1,1,1,2,1,1,67,1,1,1,1,1,1,20,48,0,3,0,1,0,1,81,1,1,1,1,1,1,1,1,1,1,1,1
10,20220130031521,0,29,1,1,48,1,1,99,1,1,4,1,16,2,1,1,1,1,1,1,3,1,1,1,2,1,1,67,1,1,1,1,1,1,18,48,0,3,0,1,1,1,81,1,1,1,1,1,1,1,1,1,1,1,1
11,20220131055025,0,29,1,1,48,1,1,100,1,1,4,1,16,2,1,1,1,1,1,1,3,1,1,1,2,1,1,67,1,1,1,1,1,1,17,48,0,3,0,1,1,1,81,1,1,1,1,1,1,1,1,1,1,1,1
12,20220201235045,0,29,1,1,48,1,1,99,1,1,4,1,16,2,1,1,1,1,1,1,3,1,1,1,2,1,1,67,1,1,1,1,1,1,17,48,0,3,0,1,1,1,81,0,1,1,1,1,1,1,1,1,1,1,1
13,20220202170651,0,29,1,1,48,1,1,99,1,1,4,1,16,2,1,1,1,1,1,1,3,1,1,1,2,1,1,67,1,1,1,1,1,1,18,48,0,3,0,0,0,1,81,0,1,1,1,1,1,1,1,1,1,1,1
14,20220203124147,0,29,1,1,48,1,1,99,1,1,4,1,16,2,1,1,1,1,1,1,3,1,1,1,2,1,1,67,1,1,1,1,1,1,17,48,0,3,0,1,1,1,81,0,1,1,1,1,1,1,1,1,1,1,1
