,0
0,20220205131555
1,20220206132927
2,20220207141055
3,20220208181945
4,20220209174824
5,20220210203854
6,20220211214404
7,20220212233449
8,20220213223719
9,20220214233955
10,20220215222928
11,20220216214540
12,20220218000759
13,20220219021550
14,20220220030016
15,20220221104925
16,20220222094931
17,20220223165128
18,20220224112014
19,20220225122630
20,20220226123641
21,20220227220840
22,20220228140432
23,20220301154319
24,20220302171319
25,20220303175205
26,20220304014136
27,20220305014825
28,20220306030534
29,20220307170742
30,20220308181803
31,20220309192445
32,20220310221616
33,20220311212938
34,20220313184435
35,20220315225456
36,20220316230156
37,20220317104723
38,20220318072949
39,20220319084839
40,20220320094016
41,20220321053244
42,20220322023535
43,20220323153307
44,20220324093755
45,20220325070356
46,20220326060039
47,20220327074817
48,20220328160047
49,20220329100452
50,20220330105933
51,20220331195107
52,20220401181327
53,20220402110216
54,20220403160614
55,20220404072253
56,20220405085147
57,20220406004149
58,20220407104838
59,20220408062353
60,20220409082946
61,20220410073742
62,20220411060228
63,20220412074750
64,20220413094227
65,20220414224818
66,20220415090641
67,20220416114329
68,20220417114628
69,20220418115653
70,20220419120319
71,20220420102532
72,20220421114319
73,20220422124302
74,20220423133138
75,20220424113643
76,20220425124453
77,20220426155148
78,20220427162924
79,20220428193321
80,20220429164833
81,20220430180615
82,20220501161621
83,20220502172844
84,20220503171143
85,20220505205510
86,20220506230607
87,20220507203349
88,20220508210855
89,20220509223657
90,20220510232432
91,20220512011025
92,20220513063116
93,20220514034822
94,20220515021101
95,20220516170402
96,20220519230341
97,20220520233737
98,20220521235032
99,20220522233817
100,20220524231519
101,20220525011425
102,20220526031107
103,20220527225318
104,20220528215413
105,20220529211047
106,20220530200401
107,20220531221038
108,20220601222014
109,20220602192537
110,20220603203113
111,20220604192304
112,20220605202927
113,20220606194055
114,20220607203105
115,20220608200516
116,20220610005543
117,20220611002543
118,20220612061640
119,20220613025809
120,20220614051010
121,20220615033503
122,20220616132830
123,20220617033042
124,20220618044821
125,20220619223011
126,20220620232939
127,20220621233604
128,20220622232949
129,20220623232934
130,20220624233014
131,20220625223107
132,20220626233013
133,20220627233102
134,20220628232957
135,20220629223418
136,20220630224226
137,20220701112731
138,20220702233010
139,20220703233007
140,20220704235217
141,20220705232014
142,20220706224236
143,20220707230923
144,20220708235420
145,20220709225412
146,20220710233009
147,20220711182221
148,20220712063302
149,20220713194253
150,20220714180352
151,20220715130137
152,20220716193303
153,20220717181338
154,20220718130013
155,20220720135340
156,20220721153317
157,20220724182559
158,20220725210409
159,20220726204107
160,20220728025241
161,20220729095730
162,20220730113202
163,20220731073318
164,20220801191619
165,20220802165232
166,20220803232410
167,20220804164900
168,20220805222117
169,20220806182840
170,20220807195552
171,20220808213726
172,20220809091925
173,20220810215624
174,20220811213725
175,20220812233824
176,20220813225835
177,20220814213237
178,20220815233159
179,20220816233206
180,20220817233203
181,20220818233158
182,20220819233203
183,20220820233153
184,20220821093211
