,0
0,20220201231545
1,20220202201603
2,20220203234329
3,20220204135615
4,20220205230140
5,20220206113608
6,20220207231618
7,20220208224719
8,20220209203433
9,20220210161251
10,20220211200240
11,20220212215918
12,20220213155623
13,20220214231430
14,20220215230738
15,20220216212219
16,20220217202438
17,20220218215751
18,20220219211249
19,20220220105316
20,20220221234359
21,20220222213535
22,20220223214031
23,20220224161329
24,20220225224408
25,20220226204955
26,20220227161951
27,20220228164540
28,20220301223143
29,20220302220449
30,20220303180250
31,20220304215931
32,20220305182118
33,20220306092342
34,20220307235943
35,20220308184050
36,20220309154851
37,20220310182757
38,20220311130724
39,20220312222125
40,20220313224738
41,20220314220248
42,20220315225934
43,20220316203852
44,20220317232621
45,20220318195348
46,20220319200236
47,20220320194210
48,20220321220232
49,20220322234915
50,20220323232036
51,20220324155932
52,20220325112459
53,20220326135411
54,20220327100937
55,20220328192309
56,20220329212559
57,20220330204630
58,20220331234230
59,20220401200559
60,20220402152852
61,20220403154033
62,20220404200800
63,20220405213857
64,20220406234220
65,20220407204717
66,20220408205305
67,20220409211415
68,20220410210122
69,20220411233201
70,20220412191850
71,20220413232638
72,20220414203127
73,20220415234339
74,20220416221926
75,20220417233700
76,20220418215013
77,20220419200144
78,20220420220610
79,20220421182059
80,20220422232029
81,20220423233500
82,20220424185753
83,20220425192334
84,20220426205820
85,20220427221307
86,20220428215847
87,20220429205221
88,20220430193426
89,20220501185721
90,20220502192312
91,20220503192750
92,20220504233141
93,20220505192943
94,20220506224448
95,20220507151428
96,20220508102222
97,20220509231951
98,20220510204103
99,20220511185713
100,20220512093807
101,20220513181920
102,20220514155320
103,20220515220746
104,20220516213320
105,20220517204928
106,20220518214428
107,20220519195622
108,20220520234315
109,20220521225503
110,20220522201205
111,20220523212745
112,20220524182603
113,20220525182159
114,20220526192835
115,20220527200829
116,20220528221254
117,20220529234752
118,20220530210701
119,20220531233418
120,20220601180911
121,20220602202529
122,20220603164034
123,20220604232008
124,20220605200950
125,20220606203237
126,20220607220930
127,20220608184926
128,20220609230420
129,20220610233809
130,20220611111742
131,20220612220034
132,20220613121448
133,20220614233520
134,20220615211336
135,20220616090840
136,20220617184149
137,20220618044140
138,20220619170543
139,20220620160950
140,20220621053545
141,20220622121814
142,20220623161518
143,20220624200436
144,20220625234947
145,20220626235919
146,20220627140814
147,20220628054742
148,20220629150340
149,20220630124158
150,20220701220303
151,20220702222807
152,20220703235246
153,20220704064922
154,20220705180803
155,20220706233318
156,20220707172940
157,20220708093013
158,20220709230005
159,20220710170559
160,20220711220726
161,20220712211401
162,20220713210007
163,20220714102206
164,20220715102123
165,20220716110052
166,20220717131912
167,20220718213100
168,20220719143009
169,20220720131404
170,20220721165811
171,20220722200310
172,20220723172458
173,20220724234310
174,20220725184722
175,20220726204652
176,20220727190631
177,20220728164945
178,20220729220500
179,20220730162233
180,20220731170734
181,20220801180720
182,20220802185833
183,20220803220219
184,20220804230834
185,20220805222911
186,20220806234329
187,20220807222448
188,20220808231031
189,20220809224623
190,20220810223205
191,20220811083907
192,20220812222133
193,20220813171910
194,20220814073323
195,20220815235932
196,20220816171843
197,20220817224854
198,20220818131808
199,20220821174016
