,Timestamp,"//*[@style=""height:24px;width:97px""]_RELOC","xpath//*[@id=""__cond-75152""]/div/div[2]/footer/div/div[4]/div/div/div/div/a/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" iUiZBt "")]/li[6]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ojwc4z-0 "")][1]/div[2]_RELOC",class nameojwc4z-1_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[3]/div[2]/ul/li[6]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" eOjPxb "")]/li[3]/div[1]_RELOC",class nameo7qeou-3_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[8]/ul/li[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" eOjPxb "")]/li[2]_RELOC",class nameo7qeou-0_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[8]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" deuuwy "")]_RELOC",class namesc-1pc5grg-1_SEL,"xpath//*[@id=""__cond-75162""]/div/div_SEL","//*[@id=""__cond-75164""]_RELOC",id__cond-75164_SEL,"xpath//*[@id=""__cond-75164""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" cwIPWO "")]/li[3]_RELOC",class namesc-1lxvzhd-0_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[6]/div[2]/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ckHxed "")]_RELOC",class namesc-1sjqft3-1_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[2]/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ckYImm "")]_RELOC",class namesc-2xfn8l-0_SEL,"xpath//*[@id=""__cond-75152""]/div/div[2]/footer/div[2]/div/div/div/div[2]/div[5]/div/div/div[2]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" glIZQf "")]/div[1]/div[4]/div[5]/div[1]/div[1]_RELOC",class namesc-1wj22sv-4_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[4]/div[5]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" eOjPxb "")]/li[5]/p[1]_RELOC",class nameo7qeou-2_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[8]/ul/li[5]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" iUiZBt "")]/li[3]/div[1]/p[1]_RELOC",class nameojwc4z-5_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[3]/div[2]/ul/li[3]/div/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" jKUqLc "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sc-1p2sah-0 "")][2]_RELOC",class namesc-1p2sah-0_SEL,"xpath//*[@id=""__cond-75152""]/div/div[2]/footer/div/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" glIZQf "")]/div[1]/div[4]/div[3]/div[2]_RELOC",class namesc-1wj22sv-5_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[4]/div[3]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gOHQQL "")]/li[1]_RELOC",class namebs2e71-0_SEL,"xpath//*[@id=""__cond-75152""]/div/div[2]/footer/div[2]/div/div/div/div[2]/div[5]/div/div/div[2]/div/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" fPnIVd "")]_RELOC",class nameyue4at-0_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[2]/div/div/div/div[2]/div[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" glIZQf "")]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pvbp07-0 "")][2]/div[2]//*[@style=""width:24px;height:24px""]_RELOC",class namesc-1gyxcpm-0_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[4]/div[2]/div/div/div/a/div/div/div_SEL","//*[@id=""wm-media-curtain""]_RELOC",idwm-media-curtain_SEL,"xpath//*[@id=""wm-media-curtain""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" lipXJb "")]_RELOC",class namesc-119uko5-1_SEL,"xpath//*[@id=""__cond-75166""]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" eVbyJm "")]_RELOC",class namesc-1q7ufon-1_SEL,"xpath//*[@id=""__cond-75152""]/div/div/div[5]/div_SEL"
0,20220104105425,1,3,1,6,1,1,6,1,1,6,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,6,1,1,6,1,1,2,1,1,4,1,1,24,24,1,1,1,1,27,1,1,1,1,1,1,1,1,1,1
1,20220105131729,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
2,20220106205714,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
3,20220108165339,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,1,1,1,1,1,0,1,1,0
4,20220109214257,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
5,20220110053008,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,1,1,1,1,1,0,1,1,0
6,20220112222946,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
7,20220113103700,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
8,20220114140222,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,1,1,1,1,1,0,1,1,0
9,20220115135402,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
10,20220116160536,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
11,20220118053137,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,1,1,1,1,1,0,1,1,0
12,20220119023412,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
13,20220120113633,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
14,20220121080218,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
15,20220122080549,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
16,20220123133737,1,0,1,6,0,1,6,0,1,6,0,1,1,0,0,0,0,1,4,0,1,1,0,1,1,0,1,4,0,1,6,0,1,6,0,1,2,0,1,4,0,1,24,0,1,1,0,1,27,0,0,0,0,1,1,0,1,1,0
