,0
0,20220111234819
1,20220122230215
2,20220424190345
3,20220522231435
4,20220525170222
5,20220526192342
6,20220527094414
7,20220602225835
8,20220617054616
9,20220622033206
10,20220624052231
11,20220712094543
12,20220716115649
13,20220719144819
14,20220721090803
15,20220722235003
16,20220724224734
17,20220725233558
18,20220726104712
19,20220727224718
20,20220728035752
21,20220729150444
22,20220730111900
23,20220731133214
24,20220801122324
25,20220802152435
26,20220803192105
27,20220804201455
28,20220805202718
29,20220806210824
30,20220807213558
31,20220808222035
32,20220809223112
33,20220810235624
34,20220811215142
35,20220812231146
36,20220813233828
37,20220814234331
38,20220815233547
39,20220816030924
40,20220817044040
41,20220818052041
42,20220819020936
43,20220820130706
