,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-menu "")]/li[6]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sub-menu "")][1]/li[2]_RELOC","xpath//*[@id=""container""]/div/div[2]/div/div/div/div[2]/ul/li[6]/ul/li[2]_SEL","//footer[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pure-g "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pure-u-sm-1-2 "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" menu-footer "")][1]/li[5]_RELOC","xpath//*[@id=""container""]/footer/div/div/div[2]/ul/li[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ad-half-page-left "")]_RELOC",class namea-container_SEL,"xpath//*[@id=""container""]/div/div[3]/div/div/div/div/div/div[2]/div_SEL","//*[@data-view-instance-placeholder=""lowerboardContent""]_RELOC","xpath//*[@id=""container""]/div/div[3]/div/div/div/div[2]/div[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-menu "")]/li[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sub-menu "")][1]/li[1]_RELOC","xpath//*[@id=""container""]/div/div[2]/div/div/div/div[2]/ul/li[2]/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" main-row "")]_RELOC",class namespeedtest-container_SEL,"xpath//*[@id=""container""]/div/div[3]/div/div/div/div[2]/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" masthead-dark "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]_RELOC",class namecontainer_SEL,"xpath//*[@id=""container""]/div/div[2]/div_SEL","//*[@data-view-instance-placeholder=""lowerContent""]_RELOC","xpath//*[@id=""container""]/div/div[4]/div_SEL","//*[@id=""change-locale-list""]/li[14]_RELOC","xpath//*[@id=""change-locale-list""]/li[14]_SEL","//*[@data-view-instance-placeholder=""notifications""]_RELOC","xpath//*[@id=""container""]/div/div[3]/div/div/div/div[2]/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" start-text "")]_RELOC",class namestart-text_SEL,"xpath//*[@id=""container""]/div/div[3]/div/div/div/div[2]/div[3]/div/a/span[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-menu "")]/li[7]_RELOC","xpath//*[@id=""container""]/div/div[2]/div/div/div/div[2]/ul/li[7]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" top-horizontal "")]_RELOC",class nametop-horizontal_SEL,"xpath//*[@id=""container""]/div/div[3]/div/div/div/div[2]/div[2]/div/div/div_SEL","//footer[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pure-g "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pure-u-sm-1-2 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" menu-footer "")][2]/li[2]_RELOC","xpath//*[@id=""container""]/footer/div/div/div/ul[2]/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-menu "")]/li[3]_RELOC","xpath//*[@id=""container""]/div/div[2]/div/div/div/div[2]/ul/li[3]_SEL","//footer[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pure-g "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pure-u-sm-1-2 "")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" menu-footer "")][1]/li[2]_RELOC","xpath//*[@id=""container""]/footer/div/div/div[3]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-menu "")]/li[7]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sub-menu "")][1]/li[4]_RELOC","xpath//*[@id=""container""]/div/div[2]/div/div/div/div[2]/ul/li[7]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-menu "")]/li[6]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sub-menu "")][1]/li[1]_RELOC","xpath//*[@id=""container""]/div/div[2]/div/div/div/div[2]/ul/li[6]/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" pure-u-custom-speedtest "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" u-c "")][1]_RELOC",class nameu-c_SEL,"xpath//*[@id=""container""]/div/div[3]/div/div/div/div[2]/div_SEL","//footer[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pure-g "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pure-u-sm-1-2 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" menu-footer "")][1]/li[4]_RELOC","xpath//*[@id=""container""]/footer/div/div/div/ul/li[4]_SEL"
0,20220204223056,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
1,20220205234509,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
2,20220206223443,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
3,20220207231409,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
4,20220208225814,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
5,20220209233425,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
6,20220210234846,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
7,20220211233903,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
8,20220212230817,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
9,20220213220148,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
10,20220214181724,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
11,20220215235206,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
12,20220216233118,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
13,20220217233409,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
14,20220218201953,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
15,20220219225835,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
16,20220220234616,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
17,20220221235425,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
18,20220222213918,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
19,20220223204257,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
20,20220224231811,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
21,20220225224444,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
22,20220226233322,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
23,20220227221821,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,True,False
