,0
0,20220309234931
1,20220310230034
2,20220311222645
3,20220314191600
4,20220322194425
5,20220323233237
6,20220326224900
7,20220328203209
8,20220329210216
9,20220330211132
10,20220331234602
11,20220401234508
12,20220402232812
13,20220403151831
14,20220404171345
15,20220407211041
16,20220408191356
17,20220409231025
18,20220410224021
19,20220412210313
20,20220413213243
21,20220414221153
22,20220415224746
23,20220416232339
24,20220418210421
25,20220419203728
26,20220420111255
27,20220421223644
28,20220423143312
29,20220427225757
30,20220429170318
31,20220430173031
32,20220502182224
33,20220504201701
34,20220505205153
35,20220506211259
36,20220507214244
37,20220508214532
38,20220509220325
39,20220510224845
40,20220511233328
41,20220512224323
42,20220514162924
43,20220515223450
44,20220516225522
45,20220519201425
46,20220520210627
47,20220521200537
48,20220522205253
49,20220523213144
50,20220524220515
51,20220525233357
52,20220526222958
53,20220527195916
54,20220528181752
55,20220529235757
56,20220530100240
57,20220531183214
58,20220601234005
59,20220602231817
60,20220603234920
61,20220604072429
62,20220605235747
63,20220606215446
64,20220607235829
65,20220608223934
66,20220609231642
67,20220610144053
68,20220611121202
69,20220612195323
70,20220613185733
71,20220614205612
72,20220615135629
73,20220616215308
74,20220617222645
75,20220618223804
76,20220619233103
77,20220620233111
78,20220621232624
79,20220622234203
80,20220623233928
81,20220624195332
82,20220625213604
83,20220626224529
84,20220627222228
85,20220628222526
86,20220629232212
87,20220630234620
88,20220701234244
89,20220702232625
90,20220703204003
91,20220704224952
92,20220705232248
93,20220706235306
94,20220707232235
95,20220708234319
96,20220709234601
97,20220710172231
98,20220711190602
99,20220712220832
100,20220713222147
101,20220714194042
102,20220715205801
103,20220716230510
104,20220717223906
105,20220718211117
106,20220719194710
107,20220720213959
108,20220721210523
109,20220722223330
110,20220723223030
111,20220724231446
112,20220725201053
113,20220726214439
114,20220727225322
115,20220728231629
116,20220729232002
117,20220730223933
118,20220731160811
119,20220801220150
120,20220802215057
121,20220803235419
122,20220804231102
123,20220805221330
124,20220806232927
125,20220807224616
126,20220808235104
127,20220809222333
128,20220810215719
129,20220811221236
130,20220812221320
131,20220813185002
132,20220814160420
133,20220815193516
134,20220816223824
135,20220817221108
136,20220818214513
137,20220819192249
138,20220820193821
139,20220821213958
140,20220822233518
141,20220823235305
142,20220824163325
143,20220825205958
144,20220826212749
145,20220827205132
146,20220828201953
147,20220829224302
148,20220830235221
149,20220831232336
150,20220901220706
151,20220902225302
152,20220903234615
153,20220904234426
154,20220905230559
155,20220906231518
156,20220907234319
157,20220908200112
158,20220909212402
159,20220910202606
160,20220911230309
161,20220912211503
162,20220913232802
163,20220914144822
164,20220915203005
165,20220916223804
166,20220917233039
167,20220918223031
168,20220919222224
169,20220920235313
170,20220921212820
171,20220922230514
172,20220923090833
