,0
0,20220204135835
1,20220205132608
2,20220206182104
3,20220207223410
4,20220208230915
5,20220209171930
6,20220210190601
7,20220211224102
8,20220212215919
9,20220213233934
10,20220214225401
11,20220215234732
12,20220216164036
13,20220217054715
14,20220218100537
15,20220219184852
16,20220220175353
17,20220221232346
18,20220222211544
19,20220223135911
20,20220224173626
21,20220225193348
22,20220226155000
23,20220227204859
24,20220228232753
25,20220301223131
26,20220302225042
27,20220303183657
28,20220304231026
29,20220305233541
30,20220306222523
31,20220307210205
32,20220308233057
33,20220309171008
34,20220310095727
35,20220311174033
36,20220312220620
37,20220313183025
38,20220314231656
39,20220315184502
40,20220316172201
41,20220317232959
42,20220318175843
43,20220319192829
44,20220320211708
45,20220321222121
46,20220322235631
47,20220323120518
48,20220324142349
49,20220325234114
50,20220326183020
51,20220327195742
52,20220328211511
53,20220329213249
54,20220330221915
55,20220331231446
56,20220401184451
57,20220402201534
58,20220403235913
59,20220404232418
60,20220405204208
61,20220406212223
62,20220407191732
63,20220408195927
64,20220409203532
65,20220410210836
66,20220411215218
67,20220412222650
68,20220413224652
69,20220414232154
70,20220415235411
71,20220416163922
72,20220417193636
73,20220418174822
74,20220419192423
75,20220420190240
76,20220421201944
77,20220422130449
78,20220423154956
79,20220424210523
80,20220425213525
81,20220426222139
82,20220427225900
83,20220428171049
84,20220429175230
85,20220430175836
86,20220501191118
87,20220502182551
88,20220503214606
89,20220504202555
90,20220505233057
91,20220506193841
92,20220507193834
93,20220508203342
94,20220509203509
95,20220510211550
96,20220511215149
97,20220512225322
98,20220513220054
99,20220514230958
100,20220515231122
101,20220516233903
102,20220517180510
103,20220518153305
104,20220519143716
105,20220520234737
106,20220521204420
107,20220522225817
108,20220523213945
109,20220524184251
110,20220525053822
111,20220526192123
112,20220527194926
113,20220528212513
114,20220529235022
115,20220530175116
116,20220531233555
117,20220601215136
118,20220602223044
119,20220603213518
120,20220604112343
121,20220605151926
122,20220606222732
123,20220607123927
124,20220608132047
125,20220609141734
126,20220610220429
127,20220611163537
128,20220612195318
129,20220613211737
130,20220614182629
131,20220615074743
132,20220616224236
133,20220618185909
134,20220619102020
135,20220620061626
136,20220621111733
137,20220622110730
138,20220623040905
139,20220624095641
140,20220629140217
141,20220706112254
142,20220707185914
143,20220708140113
144,20220709122632
145,20220710063301
146,20220711120614
147,20220712123955
148,20220713213427
149,20220714010106
150,20220716104628
151,20220717174439
152,20220718112430
153,20220719083045
154,20220721091626
155,20220722215427
156,20220723200555
157,20220724224824
158,20220725220214
159,20220726160418
160,20220727225753
161,20220728230243
162,20220729172444
163,20220730192728
164,20220731141854
165,20220801140434
166,20220802190343
167,20220803132832
168,20220804165300
169,20220805203449
170,20220806222735
171,20220807221659
172,20220816170741
173,20220817134707
174,20220819094749
