,0
0,20220317170029
1,20220318174958
2,20220319190349
3,20220320195455
4,20220321205441
5,20220322214339
6,20220323122031
7,20220324154619
8,20220325163443
9,20220326173647
10,20220327184936
11,20220328195826
12,20220329234112
13,20220330200520
14,20220331171736
15,20220401181102
16,20220402191513
17,20220403202452
18,20220404210407
19,20220405004306
20,20220406212228
21,20220407094925
22,20220408141536
23,20220409144023
24,20220410151723
25,20220411153434
26,20220412154828
27,20220413162143
28,20220414122557
29,20220415170047
30,20220416173244
31,20220418162656
32,20220419170926
33,20220420173657
34,20220421185110
35,20220422142831
36,20220423145218
37,20220424152406
38,20220425160529
39,20220426164421
40,20220427173315
41,20220428175940
42,20220429183737
43,20220430184403
44,20220503203918
45,20220504215401
46,20220505224626
47,20220506232901
48,20220507234604
49,20220508214506
50,20220509000616
51,20220510002439
52,20220511005043
53,20220512160628
54,20220513020135
55,20220514110644
56,20220515024724
57,20220516031408
58,20220517033745
59,20220518040501
60,20220519145209
61,20220520153559
62,20220522041539
63,20220523045120
64,20220524053025
65,20220525085919
66,20220526060600
67,20220527152023
68,20220528160141
69,20220529080031
70,20220530115555
71,20220601093359
72,20220602101949
73,20220603151414
74,20220604122039
75,20220605104755
76,20220606110853
77,20220607114324
78,20220608115852
79,20220609125452
80,20220610164914
81,20220611144348
82,20220612151732
83,20220613180254
84,20220614144800
85,20220615141927
86,20220617151242
87,20220618141214
88,20220619150029
89,20220620151148
90,20220621162738
91,20220622164248
92,20220623173557
93,20220624175825
94,20220626184842
95,20220627204205
96,20220628211549
97,20220629213058
98,20220630220405
99,20220701232111
100,20220702233828
101,20220704221455
102,20220705222545
103,20220706231119
104,20220707234030
105,20220709123846
106,20220711011649
107,20220712020210
108,20220715202913
109,20220716140322
110,20220717041354
111,20220718050425
112,20220719055707
113,20220725143723
114,20220814210045
115,20220820193506
116,20220824230048
117,20220901133323
118,20220915171528
119,20220916204403
120,20220917104355
121,20220919223848
