,0
0,20210527150418
1,20210528154717
2,20210529133839
3,20210530231556
4,20210531222257
5,20210601225336
6,20210602234751
7,20210603102819
8,20210604190059
9,20210605084800
10,20210606233402
11,20210607213332
12,20210608215131
13,20210609193409
14,20210610211219
15,20210611190926
16,20210612234210
17,20210613235608
18,20210614233922
19,20210615115035
20,20210616124203
21,20210617222617
22,20210618235034
23,20210619201236
24,20210620235100
25,20210621171659
26,20210622234643
27,20210623204952
28,20210624214648
29,20210625235518
30,20210626220026
31,20210627205324
32,20210628212048
33,20210629230252
34,20210630235825
35,20210701170228
36,20210702194313
37,20210703155046
38,20210704202707
39,20210705171847
40,20210706211437
41,20210707221955
42,20210708230113
43,20210709235616
44,20210710213915
45,20210711225551
46,20210712173411
47,20210713221902
48,20210714162512
49,20210715172520
50,20210716180831
51,20210717231936
52,20210718202429
53,20210719215941
54,20210720232006
55,20210721230258
56,20210722225724
57,20210723235446
58,20210724224529
59,20210725164427
60,20210726224628
61,20210727203803
62,20210728192408
63,20210729204142
64,20210730175719
65,20210731175945
66,20210801223437
67,20210802215636
68,20210803205055
69,20210804223532
70,20210805232059
71,20210806234145
72,20210807222754
73,20210808215721
74,20210809233719
75,20210810185041
76,20210811224707
77,20210812222614
78,20210813231804
79,20210814223326
80,20210815231643
81,20210816102937
82,20210817234836
83,20210818211141
84,20210819234709
85,20210820221816
86,20210821224151
87,20210822235007
88,20210823183816
89,20210824194030
90,20210825235436
91,20210826230212
92,20210827234310
93,20210828185835
94,20210829224725
95,20210830212327
96,20210831204546
97,20210901232522
98,20210902200907
99,20210903231206
100,20210904221158
101,20210905233032
102,20210906235502
103,20210907215338
104,20210908185418
105,20210909144051
106,20210910233414
107,20210911153017
108,20210912235554
109,20210913230317
110,20210914232416
111,20210915204208
112,20210916204426
113,20210917230512
114,20210918192857
115,20210919231410
116,20210920233424
117,20210921082414
118,20210922043336
119,20210923111506
120,20210924084012
121,20210925181903
122,20210926121559
123,20210927231557
124,20210928232930
125,20210929152549
126,20210930194439
127,20211001172519
128,20211002233504
129,20211003202112
130,20211004230945
131,20211005215521
132,20211006184542
133,20211007225507
134,20211008225127
135,20211009124535
136,20211010162106
137,20211011180202
138,20211012201525
139,20211013205354
140,20211014180306
141,20211015194151
142,20211016203251
143,20211017214114
144,20211018223100
145,20211019232213
146,20211020162753
147,20211021140841
148,20211022194339
149,20211023092302
150,20211024170858
151,20211025223001
152,20211026215351
153,20211027202617
154,20211028125301
155,20211029193322
156,20211030194650
157,20211031143935
158,20211101235147
159,20211102215759
160,20211103222906
161,20211104184623
162,20211105235159
163,20211106230535
164,20211107201824
165,20211108220045
166,20211109234658
167,20211110233214
168,20211111225755
169,20211112203642
170,20211113234809
171,20211114122617
172,20211115222319
173,20211116235350
174,20211117232901
175,20211118154707
176,20211119201918
177,20211120113910
178,20211121133909
179,20211122230555
