,0
0,20210814203732
1,20210815182645
2,20210816144050
3,20210817211533
4,20210821210336
5,20210823203437
6,20210824212649
7,20210825213410
8,20210826091352
9,20210828222825
10,20210829210934
11,20210901204647
12,20210905225017
13,20210908220015
14,20210912221835
15,20210914214455
16,20210915231117
17,20210916172512
18,20210917003600
19,20210918174240
20,20210919234656
21,20210920231641
22,20210926181142
23,20210927230513
24,20210928232655
25,20211004182551
26,20211005014805
27,20211006074339
28,20211008061754
29,20211011183820
30,20211012200143
31,20211013025414
32,20211019183853
33,20211020173003
34,20211026194952
35,20211027040713
36,20211028071917
37,20211102175747
38,20211103050310
39,20211105225643
40,20211106220434
41,20211109211702
42,20211111085449
43,20211113222507
44,20211114224733
45,20211116203923
46,20211121235508
47,20211122211721
48,20211123215136
49,20211124093213
50,20211125122858
51,20211129010912
52,20211130220746
53,20211201165650
54,20211202044546
55,20211204184617
56,20211205224805
57,20211213220458
58,20211214102429
59,20211215083324
60,20211220223136
61,20211221060117
62,20211222062417
63,20211227234147
64,20211228224831
65,20211229061442
66,20211230053814
67,20220104231354
68,20220106054332
69,20220108194805
70,20220111152814
71,20220112012936
72,20220113075643
73,20220114063730
74,20220115091234
75,20220116201147
76,20220118131221
77,20220122173043
78,20220124201953
79,20220125191148
80,20220130005119
81,20220201195919
82,20220202123442
83,20220208234731
84,20220212233234
85,20220213034016
86,20220215213632
87,20220216200008
88,20220222205506
89,20220223210446
90,20220301202236
91,20220302212532
92,20220305224944
93,20220307091814
94,20220308200111
95,20220309223953
96,20220310002757
97,20220314231141
98,20220315033119
99,20220316055228
100,20220317185618
101,20220323172155
102,20220324180125
103,20220329212815
104,20220331180240
105,20220401134039
106,20220406215659
107,20220407144926
108,20220408160049
109,20220409010330
110,20220413012126
111,20220414200227
112,20220415161551
113,20220416002946
114,20220421234636
115,20220422163120
116,20220423000405
117,20220428180331
118,20220429165353
119,20220501231808
120,20220502050528
121,20220505203516
122,20220506172341
123,20220512172237
124,20220513173814
125,20220519184144
126,20220520181218
127,20220521020955
128,20220526193559
129,20220527194651
130,20220528034021
131,20220531050314
132,20220602195828
133,20220603201736
134,20220604043159
135,20220605224644
136,20220609203536
137,20220610202901
138,20220611060435
139,20220613030151
140,20220616123145
141,20220617231610
142,20220618164929
143,20220619000616
144,20220622080836
145,20220623133706
146,20220624212617
147,20220625193818
148,20220626191655
149,20220701222159
150,20220702174845
151,20220707142134
152,20220708233932
153,20220709173349
154,20220711215258
155,20220712101121
156,20220713234524
157,20220714235855
158,20220715213043
159,20220716224223
160,20220723203023
161,20220730201613
162,20220805172407
163,20220806183903
164,20220809074857
165,20220813191012
166,20220815072645
167,20220819160014
168,20220820201154
169,20220821063437
170,20220822083452
171,20220827211215
172,20220828044511
173,20220829205829
174,20220901043447
175,20220903212242
176,20220904043857
177,20220907192808
178,20220910213533
179,20220911045342
180,20220914090951
181,20220917221949
182,20220918052621
183,20220920084329
184,20220924230023
185,20220925060816
186,20220927092843
