,0
0,20220125221504
1,20220126155303
2,20220127064849
3,20220128105650
4,20220129081851
5,20220130210958
6,20220131212243
7,20220201234253
8,20220202085031
9,20220203102424
10,20220204151417
11,20220205141600
12,20220206123518
13,20220207224821
14,20220208194715
15,20220210194154
16,20220211071735
17,20220212081353
18,20220213125457
19,20220214230600
20,20220215214653
21,20220216100743
22,20220217083013
23,20220218234906
24,20220222225315
25,20220223191708
26,20220224093108
27,20220225043559
28,20220226064944
29,20220227102352
30,20220228122141
31,20220301232739
32,20220302101932
33,20220303174126
34,20220304053038
35,20220305063119
36,20220306042213
37,20220307081826
38,20220308235552
39,20220309153030
40,20220310035302
41,20220311123610
42,20220312045614
43,20220313233756
44,20220314190452
45,20220315065443
46,20220316131750
47,20220317091534
48,20220318140826
49,20220319101710
50,20220320183039
51,20220321050359
52,20220322112642
53,20220323045619
54,20220324125620
55,20220325212149
56,20220326225250
57,20220327035219
58,20220328051956
59,20220329192449
60,20220330074809
61,20220331073142
62,20220401234659
63,20220402043635
64,20220403145258
65,20220404204804
66,20220405061631
67,20220406222801
68,20220407210910
69,20220408120543
70,20220409131350
71,20220411205134
72,20220412212047
73,20220413072045
74,20220414113403
75,20220415091110
76,20220416074843
77,20220417151028
78,20220418064754
79,20220419070609
80,20220420054058
81,20220421043054
82,20220422100012
83,20220423160023
84,20220425035745
85,20220427042643
86,20220428044340
87,20220429115804
88,20220430080741
89,20220501104427
90,20220502074505
91,20220503212607
92,20220504112558
93,20220505144447
94,20220506230016
95,20220507043029
96,20220508043225
97,20220509053558
98,20220512202404
99,20220513045140
100,20220514134124
101,20220515160015
102,20220516052659
103,20220517142909
104,20220518075917
105,20220519185235
106,20220520071011
107,20220521134513
108,20220522070532
109,20220523071251
110,20220524115802
111,20220525145414
112,20220526132953
113,20220527085320
114,20220528230854
115,20220529044410
116,20220530142316
117,20220531072748
118,20220601061425
119,20220602070732
120,20220603104742
121,20220604092956
122,20220605132426
123,20220606191532
124,20220607105149
125,20220608081435
126,20220610072303
127,20220611200745
128,20220612132838
129,20220613065934
130,20220615224524
131,20220616091930
132,20220617063918
133,20220618050431
134,20220619065622
135,20220620214753
136,20220621100825
137,20220622052111
138,20220623212005
139,20220624110351
140,20220625154251
141,20220626111928
142,20220627100224
143,20220628130334
144,20220629155539
145,20220630063545
146,20220701155441
147,20220702100120
148,20220703142426
149,20220704155249
150,20220705034442
151,20220706062818
152,20220707120327
153,20220708220717
154,20220710145411
155,20220711132646
156,20220712095451
157,20220713122702
158,20220714112127
159,20220715142000
160,20220716090054
161,20220717151944
162,20220718195345
163,20220719155240
164,20220720090257
165,20220721055901
166,20220722174940
167,20220723141257
168,20220724182808
169,20220725124636
170,20220726110843
171,20220727164357
172,20220728044826
173,20220729085325
174,20220730081537
175,20220731111818
176,20220801225153
177,20220802204344
178,20220803145544
179,20220804130351
180,20220805041304
181,20220806144959
182,20220807210030
183,20220808105015
184,20220809212402
185,20220810202021
186,20220811100751
187,20220812085736
188,20220813150227
189,20220814165402
190,20220815124531
191,20220816215643
192,20220817152556
193,20220818051607
194,20220819074144
195,20220820120704
196,20220821113948
197,20220822104103
