,0
0,20220207233742
1,20220210233928
2,20220228233721
3,20220311123029
4,20220316161508
5,20220317233209
6,20220318200745
7,20220319210226
8,20220320023702
9,20220321054527
10,20220412234821
11,20220413234809
12,20220414233628
13,20220415233631
14,20220416233653
15,20220417233628
16,20220419134724
17,20220420142005
18,20220421151504
19,20220423233639
20,20220424233710
21,20220425233638
22,20220426233607
23,20220428213619
24,20220429214640
25,20220501233613
26,20220502233717
27,20220503233622
28,20220504233634
29,20220505223648
30,20220506233700
31,20220507233707
32,20220508233627
33,20220509161440
34,20220510233710
35,20220511023656
36,20220512233645
37,20220513233643
38,20220514233631
39,20220515233630
40,20220516233648
41,20220518233612
42,20220519233710
43,20220520233633
44,20220521233635
45,20220522233657
46,20220523233616
47,20220524233627
48,20220525233908
49,20220526233643
50,20220527233634
51,20220528223648
52,20220529233623
53,20220530235842
54,20220601233633
55,20220602233851
56,20220603233651
57,20220604233617
58,20220605233603
59,20220606233625
60,20220607235743
61,20220608234115
62,20220609143615
63,20220610233629
64,20220611233644
65,20220612233604
66,20220614183559
67,20220615151411
68,20220618224128
69,20220620233524
70,20220624235238
71,20220627193543
