,Timestamp,"//*[@id=""base-container""]_RELOC",idbase-container_SEL,class namepalette--trueBlue_SEL,"xpath//*[@id=""base-container""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" TwoER "")]_RELOC",class nameTwoER_SEL,"xpath//*[@id=""base-container""]/div[2]/div[2]/div/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" p4DiZ "")]/div[2]_RELOC","xpath//*[@id=""base-container""]/div[2]/div[3]/div/div/div/div[2]_SEL",//*input_RELOC,nameq_SEL,class nameNaqPB_SEL,"xpath//*[@id=""base-container""]/div[2]/div/header/div/div[2]/span/span/form/div/input_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" Tuzss "")]_RELOC",class nameTRX6J_SEL,"xpath//*[@id=""base-container""]/div[2]/div[2]/div/div[2]/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nXAVF "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aZTpT "")][20]_RELOC",class nameaZTpT_SEL,"xpath//*[@id=""base-container""]/div[2]/div[2]/div/div/div[2]/div/span[20]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nXAVF "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aZTpT "")][10]_RELOC","xpath//*[@id=""base-container""]/div[2]/div[2]/div/div/div[2]/div/span[10]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nXAVF "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aZTpT "")][14]_RELOC","xpath//*[@id=""base-container""]/div[2]/div[2]/div/div/div[2]/div/span[14]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nXAVF "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aZTpT "")][7]_RELOC","xpath//*[@id=""base-container""]/div[2]/div[2]/div/div/div[2]/div/span[7]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" vBp1h "")]/*[@data-testid=""controlled-popover-wrapper""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" BPf9u "")][1]_RELOC",class nameBPf9u_SEL,"xpath//*[@id=""base-container""]/div[2]/div[3]/div/div/div/div/div/span/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" D5eCV "")]_RELOC",class nameD5eCV_SEL,"xpath//*[@id=""base-container""]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" TopeC "")]_RELOC",class nameTopeC_SEL,"xpath//*[@id=""base-container""]/div[2]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" PbqCW "")]_RELOC",class namePbqCW_SEL,"xpath//*[@id=""base-container""]/div[2]/div[3]/div[2]/aside/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nXAVF "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aZTpT "")][16]_RELOC","xpath//*[@id=""base-container""]/div[2]/div[2]/div/div/div[2]/div/span[16]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" PbqCW "")]//*[@aria-busy=""true""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" OpTfa "")][1]_RELOC",class nameOpTfa_SEL,"xpath//*[@id=""base-container""]/div[2]/div[3]/div[2]/aside/div/div/div/div/div_SEL","//*[@style=""min-height:calc(100vh - 55px + 1px)""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gfrwY "")][1]_RELOC",class namegfrwY_SEL,"xpath//*[@id=""base-container""]/div[2]/div[3]/div/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" vBp1h "")]/*[@data-testid=""controlled-popover-wrapper""][1]_RELOC","xpath//*[@id=""base-container""]/div[2]/div[3]/div/div/div/div/div/span_SEL","//*[@style=""min-height:calc(100vh - 55px + 1px)""]//*[@aria-busy=""true""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" OpTfa "")][2]_RELOC","xpath//*[@id=""base-container""]/div[2]/div[3]/div/div/div[2]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hhVNo "")]_RELOC",class namehhVNo_SEL,"xpath//*[@id=""base-container""]/div[2]/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hlDot "")]_RELOC",class namehlDot_SEL,"xpath//*[@id=""base-container""]/div[2]/div_SEL"
0,20220529235424,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
1,20220530234128,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,4
2,20220531234222,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
3,20220601233618,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
4,20220602234738,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
5,20220603234806,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
6,20220604234505,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
7,20220605235847,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
8,20220606224913,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,4
9,20220607234427,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
10,20220608232320,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
11,20220609223238,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,4
12,20220610234832,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
13,20220611221351,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
14,20220612224640,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
15,20220613225902,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
16,20220614234501,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
17,20220615235604,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1,1,1,1,1,1,1,2,1,1,3
