,0
0,20220123235040
1,20220208235304
2,20220209235032
3,20220210235246
4,20220211235651
5,20220212235259
6,20220213235239
7,20220214235907
8,20220215235939
9,20220216235838
10,20220217232140
11,20220218235742
12,20220219235244
13,20220220235524
14,20220221235235
15,20220222235947
16,20220223235157
17,20220224235811
18,20220225235225
19,20220226234854
20,20220227235139
21,20220228234231
22,20220301235703
23,20220302235218
24,20220303235206
25,20220304234828
26,20220305235759
27,20220306235239
28,20220307235441
29,20220308235623
30,20220309230646
31,20220310235444
32,20220311232358
33,20220312235645
34,20220313234833
35,20220314234939
36,20220315235816
37,20220316225739
38,20220317235851
39,20220318215943
40,20220319235252
41,20220320235132
42,20220321235715
43,20220322235851
44,20220323235216
45,20220324235840
46,20220325235202
47,20220326235214
48,20220327235224
49,20220328235429
50,20220329235806
51,20220330234903
52,20220331235420
53,20220401235304
54,20220402235340
55,20220403235151
56,20220404235142
57,20220405235141
58,20220406233438
59,20220407235504
60,20220408235422
61,20220409235136
62,20220410235225
63,20220411235150
64,20220412235141
65,20220413235144
66,20220414235139
67,20220415235219
68,20220416235206
69,20220417235851
70,20220418235146
71,20220419225442
72,20220420210201
73,20220421234548
74,20220422230149
75,20220423235146
76,20220424235852
77,20220425235401
78,20220426234859
79,20220427235146
80,20220428235926
81,20220429235925
82,20220430235140
83,20220501234938
84,20220502235603
85,20220503235125
86,20220504235135
87,20220505235421
88,20220506235113
89,20220507235808
90,20220508235213
91,20220509233206
92,20220510233841
93,20220511221815
94,20220512235743
95,20220513235123
96,20220514235919
97,20220515235120
98,20220516235205
99,20220517235206
100,20220518235139
101,20220519235145
102,20220520235728
103,20220521235148
104,20220522235135
105,20220523235114
106,20220524235125
107,20220525235213
108,20220526235129
109,20220527235118
110,20220528235122
111,20220529235152
112,20220530235120
113,20220531235207
114,20220601235154
115,20220602235138
116,20220603235129
117,20220604235213
118,20220605235120
119,20220606235140
120,20220607235037
121,20220608235924
122,20220609233609
123,20220610235135
124,20220611235125
125,20220612235158
126,20220613235117
127,20220614235641
128,20220615224457
129,20220616223316
130,20220617193407
131,20220618232845
132,20220619235120
133,20220620235408
134,20220621235144
135,20220622235119
136,20220623235145
137,20220624230753
138,20220625225201
139,20220626235135
140,20220627234920
141,20220628235152
142,20220629235957
143,20220630235824
144,20220701225139
145,20220702235449
146,20220703235258
147,20220704224546
148,20220705233150
149,20220706235152
150,20220707225407
151,20220708235439
152,20220709235848
153,20220710235145
154,20220711232324
155,20220712213703
156,20220713233251
157,20220714201704
158,20220715232230
159,20220716235501
160,20220717233409
161,20220718213521
162,20220719225545
163,20220720231717
164,20220721235844
165,20220722234142
166,20220723221947
167,20220724233354
168,20220725225213
169,20220726235306
170,20220727232843
171,20220728232207
172,20220729234852
173,20220730234747
174,20220731232257
175,20220801232347
176,20220802234728
177,20220803231011
178,20220804233930
179,20220805234918
180,20220806104707
