,0
0,20220420204459
1,20220515132031
2,20220516172202
3,20220519172721
4,20220521143440
5,20220524124006
6,20220525180916
7,20220528181137
8,20220530203045
9,20220531224228
10,20220601231840
11,20220603181231
12,20220605162249
13,20220607154603
14,20220608185142
15,20220609181001
16,20220610231547
17,20220612192429
18,20220613194448
19,20220615211226
20,20220616185527
21,20220618195522
22,20220619200904
23,20220620204240
24,20220621214632
25,20220622214154
26,20220623220432
27,20220624224639
28,20220625232818
29,20220626235425
30,20220627204206
31,20220629213059
32,20220630220405
33,20220701232113
34,20220702233849
35,20220703223909
36,20220704234803
37,20220705222546
38,20220706231123
39,20220707234032
40,20220708224328
41,20220710165849
42,20220711152622
43,20220712220554
44,20220713215956
45,20220714203342
46,20220715204954
47,20220716215504
48,20220717230415
49,20220718184752
50,20220719224757
51,20220720222957
52,20220721221231
53,20220722235513
54,20220723223305
55,20220724225817
56,20220726194711
57,20220727225227
58,20220731040234
59,20220802140341
60,20220803235324
61,20220805075154
62,20220806231638
63,20220807074007
64,20220809234300
65,20220811181815
66,20220812104904
67,20220813110957
68,20220814105703
69,20220815182457
70,20220816123514
71,20220817130638
72,20220818143447
73,20220819210033
74,20220820152629
75,20220821155509
76,20220822175648
77,20220823200123
78,20220824194426
79,20220825184909
80,20220826193151
81,20220827014307
82,20220828010414
83,20220829144140
84,20220830145318
85,20220901214856
86,20220904213232
87,20220905041535
88,20220906100420
89,20220908234058
90,20220909112528
91,20220911113105
92,20220912235505
93,20220913125806
94,20220914125515
95,20220915202158
96,20220916225349
97,20220919214808
98,20220920030233
