,0
0,20220208140701
1,20220210154010
2,20220211183300
3,20220212230530
4,20220213200445
5,20220214190413
6,20220215185724
7,20220216233631
8,20220217211607
9,20220218081150
10,20220219223049
11,20220220235244
12,20220222152731
13,20220223232018
14,20220224204731
15,20220225160017
16,20220226161527
17,20220227151230
18,20220228110225
19,20220301111905
20,20220302235723
21,20220303215852
22,20220304225929
23,20220305235503
24,20220306235921
25,20220307232951
26,20220308235812
27,20220309163742
28,20220310173744
29,20220311224510
30,20220312222950
31,20220313210623
32,20220314215401
33,20220315210252
34,20220317235136
35,20220318194634
36,20220319203402
37,20220320235125
38,20220321223308
39,20220322233433
40,20220323170200
41,20220324223515
42,20220325230951
43,20220326195757
44,20220327175737
45,20220328180859
46,20220329161647
47,20220330220011
48,20220331223602
49,20220401223501
50,20220402225522
51,20220403235642
52,20220404201003
53,20220405203033
54,20220406210227
55,20220407211833
56,20220408113016
57,20220409113723
58,20220410100324
59,20220411124451
60,20220412165317
61,20220413155153
62,20220414224013
63,20220415191419
64,20220416195343
65,20220417202739
66,20220418210654
67,20220419214048
68,20220420221615
69,20220423165211
70,20220424171827
71,20220507231732
72,20220511100427
73,20220515121628
74,20220528121706
75,20220531144605
76,20220602184720
77,20220608192105
78,20220617212236
79,20220623235548
80,20220704180949
81,20220705134939
82,20220708183737
83,20220825195212
84,20220827203634
85,20220907071246
86,20220909075403
87,20220912220346
88,20220913224127
89,20220914132437
90,20220915202754
91,20220916140228
92,20220917190519
93,20220918144845
94,20220919220846
95,20220920144807
96,20220922100714
97,20220923170651
