,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-list "")]/li[5]/div[1]/ul[2]/ul[2]/li[6]_RELOC","xpath//*[@id=""g-navigation""]/div/nav/ul/li[5]/div/ul[2]/ul[2]/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" qt-nav "")]/div[1]/ul[1]/li[11]/a[1]/p[1]_RELOC","xpath//*[@id=""g-navigation""]/div/nav/ul/li/div/ul/li[11]/a/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" utility-links "")]_RELOC",class nameutility-links_SEL,idutility-header_SEL,"xpath//*[@id=""utility-header""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" featured-usps "")]/div[1]/div[4]/div[2]_RELOC",class namecol-lg-5_SEL,xpath//html/body/div[6]/div/div[4]/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" tool-international-labels "")]_RELOC",class nametool-international-labels_SEL,"xpath//*[@id=""g-navigation""]/div/nav/ul/li[6]/div/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" last "")]_RELOC",class namelang-option_SEL,"xpath//*[@id=""utility-header""]/div/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-list "")]/li[5]/div[1]_RELOC",class namerepos_SEL,"xpath//*[@id=""g-navigation""]/div/nav/ul/li[5]/div_SEL","//*[@id=""global-header--search-track-international""]/div[1]_RELOC",class nameautocorrect_SEL,"xpath//*[@id=""global-header--search-track-international""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" tool-informed "")]_RELOC",class nametool-informed_SEL,"xpath//*[@id=""g-navigation""]/div/nav/ul/li[3]/div/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" qt-nav "")]/div[1]/ul[1]/li[7]_RELOC","xpath//*[@id=""g-navigation""]/div/nav/ul/li/div/ul/li[7]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-list "")]/li[6]/div[1]/ul[2]/ul[1]/li[2]_RELOC","xpath//*[@id=""g-navigation""]/div/nav/ul/li[6]/div/ul[2]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-list "")]/li[4]/div[1]/form[1]/span[1]/input[2]_RELOC",class nameinput--search_SEL,"xpath//*[@id=""g-navigation""]/div/nav/ul/li[4]/div/form/span/input[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" show "")]/div[1]/div[1]/div[1]_RELOC",class namecol-4_SEL,"xpath//*[@id=""collapseExample""]/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-list "")]/li[5]/div[1]/ul[3]/li[2]_RELOC","xpath//*[@id=""g-navigation""]/div/nav/ul/li[5]/div/ul[3]/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" show "")]/div[1]/div[1]/div[1]/div[1]_RELOC",class namearticle_SEL,"xpath//*[@id=""collapseExample""]/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-list "")]/li[4]/div[1]_RELOC","xpath//*[@id=""g-navigation""]/div/nav/ul/li[4]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" qt-nav "")]/div[1]/ul[1]/li[6]_RELOC","xpath//*[@id=""g-navigation""]/div/nav/ul/li/div/ul/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" carouselslide "")]/div[1]_RELOC",class namecontainer-fluid_SEL,xpath//html/body/div[8]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-list "")]/li[5]/div[1]/ul[2]/ul[2]/li[3]_RELOC","xpath//*[@id=""g-navigation""]/div/nav/ul/li[5]/div/ul[2]/ul[2]/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" international-addition "")]_RELOC",class namedesktop-only_SEL,"xpath//*[@id=""g-navigation""]/div/nav/ul/li[6]/div/ul/div_SEL"
0,20220130231652,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
1,20220131231657,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
2,20220201234702,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
3,20220202183237,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
4,20220203231633,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
5,20220204231708,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
6,20220205231639,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
7,20220206231707,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
8,20220207231634,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
9,20220208231636,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
10,20220209232331,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
11,20220210231708,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
12,20220211235434,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
13,20220212231645,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
14,20220213231702,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
15,20220214225405,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
16,20220215190957,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True
