,0
0,20201016174244
1,20201017183943
2,20201018173750
3,20201019174453
4,20201020181759
5,20201021204816
6,20201022215515
7,20201023182523
8,20201024210822
9,20201025194745
10,20201026193129
11,20201027191540
12,20201028185447
13,20201029184521
14,20201030184149
15,20201031190938
16,20201101193806
17,20201102192427
18,20201103192442
19,20201104193019
20,20201105192744
21,20201106191914
22,20201107193148
23,20201108194831
24,20201109194958
25,20201110184256
26,20201111193922
27,20201112184346
28,20201113182042
29,20201114192110
30,20201115184939
31,20201116184051
32,20201117213426
33,20201118193759
34,20201119192203
35,20201120192303
36,20201121192715
37,20201122192434
38,20201123185446
39,20201124184223
40,20201125191423
41,20201126184230
42,20201127182853
43,20201128183335
44,20201129184502
45,20201130184415
46,20201201193557
47,20201202230936
48,20201203185501
49,20201204185527
50,20201205214028
51,20201206182956
52,20201207184735
53,20201208184041
54,20201209184728
55,20201210184549
56,20201211184403
57,20201212183258
58,20201213185217
59,20201214184646
60,20201215184859
61,20201216183612
62,20201217192159
63,20201218183242
64,20201219184439
65,20201220184521
66,20201221185833
67,20201222185201
68,20201223194233
69,20201224190407
70,20201225192650
71,20201226183510
72,20201227182103
73,20201228190137
74,20201229183504
75,20201230192523
76,20201231183407
77,20210105101400
78,20210108092745
79,20210111165659
80,20210112101634
81,20210118005853
82,20210119101653
83,20210126101420
84,20210202101355
85,20210209101325
86,20210213083542
87,20210216101422
88,20210223102513
89,20210302101525
90,20210303015026
91,20210304165117
92,20210308123709
93,20210309101529
94,20210316101522
95,20210319130232
96,20210323101441
97,20210330101754
98,20210406101635
99,20210413101420
100,20210420101524
101,20210427101339
102,20210504101505
103,20210511101623
104,20210518101406
105,20210525101250
106,20210601101359
107,20210608101432
108,20210615101236
109,20210618212303
110,20210622101229
111,20210629101852
112,20210706101218
113,20210720101228
114,20210727101247
115,20210729160832
116,20210909183339
117,20210911063555
118,20210918220543
119,20210923163937
120,20211008225804
121,20211014183815
122,20211021184726
123,20211112155655
124,20211223162853
125,20220106164012
126,20220122091949
127,20220209225429
128,20220528111223
129,20220529005452
130,20220707230526
