,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" otherprojects "")]/div[12]_RELOC",class nameotherprojects-item_SEL,"xpath//*[@id=""www-wikimedia-org""]/div[2]/div[12]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" otherprojects "")]/div[1]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div_SEL","//*[@title=""Wikimedia Commons â Shared media repository""]/span[1]_RELOC",class nameicon_SEL,"xpath//*[@id=""www-wikimedia-org""]/div[2]/div[11]/a/span_SEL","//*[@title=""Meta-Wiki â Wikimedia project coordination""]/span[1]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[13]/a/span_SEL","//*[@id=""footer""]_RELOC",idfooter_SEL,"xpath//*[@id=""footer""]_SEL","//*[@title=""Wikinews â Free content news source""]/span[1]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[6]/a/span_SEL","//*[@title=""Wikimedia Incubator â For language versions in development""]/span[1]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[14]/a/span_SEL","//*[@style=""text-align: right;""]_RELOC","xpath//*[@id=""intro""]/p[3]_SEL","//*[@id=""intro""]/p[2]_RELOC","xpath//*[@id=""intro""]/p[2]_SEL",//ul[1]/li[2]_RELOC,"xpath//*[@id=""footer""]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" otherprojects "")]/div[3]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[3]_SEL","//*[@title=""Wikipedia â The free encyclopedia""]/span[1]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div/a/span_SEL","//*[@title=""Wiktionary â The free dictionary""]/span[1]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[2]/a/span_SEL","//*[@title=""Wikimedia Foundation public relations""]/span[1]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[16]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" otherprojects "")]/div[11]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[11]_SEL","//*[@title=""Wikiversity â Open learning community""]/span[1]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[7]/a/span_SEL","//*[@id=""intro""]_RELOC",idintro_SEL,"xpath//*[@id=""intro""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" otherprojects "")]/div[7]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[7]_SEL","//*[@title=""Wikivoyage â The free, worldwide travel guide""]/span[1]_RELOC","xpath//*[@id=""www-wikimedia-org""]/div[2]/div[12]/a/span_SEL","//*[@id=""intro""]/p[1]_RELOC","xpath//*[@id=""intro""]/p_SEL"
0,20220305200235,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,20220306213948,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2,20220307204605,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
3,20220308235030,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
4,20220309233949,1,16,0,1,0,1,16,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,3
5,20220310161556,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
6,20220311220755,1,16,0,1,0,1,16,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,3
7,20220312224131,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
8,20220313211516,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
9,20220314175533,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
10,20220315193730,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
11,20220316230646,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
12,20220317212656,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
13,20220318193451,1,16,1,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
