,0
0,20220115212255
1,20220116234443
2,20220117232825
3,20220118233325
4,20220119234041
5,20220120232715
6,20220121233227
7,20220122224456
8,20220123225424
9,20220124235337
10,20220125235852
11,20220126234826
12,20220127204312
13,20220128235509
14,20220129234440
15,20220130234609
16,20220131234954
17,20220201234732
18,20220202234232
19,20220203232925
20,20220204235015
21,20220205231602
22,20220206210140
23,20220207234146
24,20220208235555
25,20220209233032
26,20220210235854
27,20220211222723
28,20220212234127
29,20220213233447
30,20220214234613
31,20220215235647
32,20220216234230
33,20220217235521
34,20220218225023
35,20220219223606
36,20220220233233
37,20220221235228
38,20220222235340
39,20220223232530
40,20220224232824
41,20220225235359
42,20220226235526
43,20220227230516
44,20220228233547
45,20220301235830
46,20220302234132
47,20220303211845
48,20220304235842
49,20220305232630
50,20220308235150
51,20220309233230
52,20220310231221
53,20220311234623
54,20220312235028
55,20220313235802
56,20220314234614
57,20220315233547
58,20220316233157
59,20220317235123
60,20220318232507
61,20220319235547
62,20220320232311
63,20220321230720
64,20220322233517
65,20220323233956
66,20220324225345
67,20220325233137
68,20220326235700
69,20220327235441
70,20220328233728
71,20220329235743
72,20220330231504
73,20220331233545
74,20220401231440
75,20220402231721
76,20220403234936
77,20220404231427
78,20220405234552
79,20220406232532
80,20220407223616
81,20220408231816
82,20220409233644
83,20220410233719
84,20220411235615
85,20220412234014
86,20220413232718
87,20220414234714
88,20220415234647
89,20220416234304
90,20220417234448
91,20220418224043
92,20220419225456
93,20220420225850
94,20220421234700
95,20220422235736
96,20220423235648
97,20220424235943
98,20220425225254
99,20220426233604
100,20220427232439
101,20220428202722
102,20220429230947
103,20220430223706
104,20220501235346
105,20220502230344
106,20220503234129
107,20220504220215
108,20220505225811
109,20220506235910
110,20220507235802
111,20220508234545
112,20220509223746
113,20220510232903
114,20220511230329
115,20220512231041
116,20220513233341
117,20220514235848
118,20220517232145
119,20220518223505
120,20220519214825
121,20220520234129
122,20220521235525
123,20220522234555
124,20220523230542
125,20220524235208
126,20220525231745
127,20220526235254
128,20220527234113
129,20220528215712
130,20220529232914
131,20220530232707
132,20220531235133
133,20220601232901
134,20220602234107
135,20220603232446
136,20220604234015
137,20220605234306
138,20220606233149
139,20220607233411
140,20220608200853
141,20220609224647
142,20220610232145
143,20220611235648
144,20220612232841
145,20220613234634
146,20220614234351
147,20220615213334
148,20220616230002
149,20220617204548
150,20220618235443
151,20220619154744
152,20220620235944
153,20220621181729
154,20220622172801
155,20220623165734
156,20220624222218
157,20220625235740
158,20220626232749
159,20220627233448
160,20220628195149
161,20220629221244
162,20220630202053
163,20220701185449
164,20220702222022
165,20220703165553
166,20220704201228
167,20220705221022
168,20220706230419
169,20220707213323
170,20220708214555
171,20220710192654
172,20220711222625
173,20220712211306
174,20220713235834
175,20220714194724
176,20220715195847
177,20220716231500
178,20220717211706
179,20220718235502
180,20220719230213
181,20220720231657
182,20220721233914
183,20220722234157
184,20220723235439
185,20220724231532
186,20220725232019
187,20220726222524
188,20220727231421
189,20220728215247
190,20220729230215
191,20220730231011
192,20220731231958
193,20220801230850
194,20220802075446
