,Timestamp,"//*[@id=""typeList""]/li[4]_RELOC","xpath//*[@id=""typeList""]/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" new_icon "")]_RELOC",class namenew_icon_SEL,"xpath//*[@id=""nav""]/ul/li/a/span_SEL","//*[@id=""margin3""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ugc-link "")][2]_RELOC",class nameugc-link_SEL,"xpath//*[@id=""margin3""]/span[5]_SEL","//*[@id=""nav""]/ul[1]/li[3]_RELOC","xpath//*[@id=""nav""]/ul/li[3]_SEL","//*[@id=""selectType""]_RELOC",idselectType_SEL,"xpath//*[@id=""selectType""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menu "")]/ul[1]/li[10]/a[1]/div[1]_RELOC","xpath//*[@id=""more""]/div[2]/ul/li[10]/a/div_SEL","//*[@id=""nav""]/ul[1]/li[6]_RELOC","xpath//*[@id=""nav""]/ul/li[6]_SEL","//*[@id=""IELTS""]_RELOC",idIELTS_SEL,class namecate_SEL,"xpath//*[@id=""IELTS""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" icon_fanyiwang "")]_RELOC",class nameicon_fanyiwang_SEL,"xpath//*[@id=""more""]/div[2]/ul/li[10]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" side "")]_RELOC",class nameside_SEL,"xpath//*[@id=""selectType""]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menu "")]/ul[1]/li[15]/a[1]/div[1]_RELOC","xpath//*[@id=""more""]/div[2]/ul/li[15]/a/div_SEL","//*[@id=""typeList""]/li[1]_RELOC","xpath//*[@id=""typeList""]/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" icon_zhiyun "")]_RELOC",class nameicon_zhiyun_SEL,"xpath//*[@id=""more""]/div[2]/ul/li[12]/a/span_SEL","//*[@id=""nav""]/ul[1]/li[1]_RELOC","xpath//*[@id=""nav""]/ul/li_SEL","//*[@id=""nav""]/ul[1]/li[4]_RELOC","xpath//*[@id=""nav""]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" icon_fanyiguan "")]_RELOC",class nameicon_fanyiguan_SEL,"xpath//*[@id=""more""]/div[2]/ul/li[5]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" icon_huihui "")]_RELOC",class nameicon_huihui_SEL,"xpath//*[@id=""more""]/div[2]/ul/li[9]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menu "")]/ul[1]/li[11]_RELOC","xpath//*[@id=""more""]/div[2]/ul/li[11]_SEL","//*[@id=""hnwBtn""]_RELOC",idhnwBtn_SEL,class namehand-write_SEL,"xpath//*[@id=""hnwBtn""]_SEL","//*[@type=""hidden""]_RELOC",namekeyfrom_SEL,"xpath//*[@id=""border""]/input[3]_SEL"
0,20220129224132,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,20220130105516,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,20220131230810,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,20220201235009,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,20220202101247,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,20220203155020,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,20220204122615,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,20220205135125,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,20220206182040,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,20220207222608,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,20220208235220,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,20220209205657,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
