,0
0,20220214234044
1,20220215220935
2,20220216203303
3,20220218201142
4,20220224234737
5,20220225170909
6,20220302215135
7,20220306145748
8,20220309204111
9,20220313211415
10,20220315224403
11,20220320201450
12,20220321205827
13,20220323235155
14,20220325174408
15,20220330221923
16,20220402202106
17,20220405230201
18,20220415235437
19,20220416121850
20,20220420045415
21,20220423191443
22,20220426234802
23,20220427230511
24,20220428212441
25,20220429231222
26,20220430174854
27,20220501233138
28,20220502131659
29,20220503223410
30,20220504151124
31,20220505230517
32,20220506232347
33,20220507235331
34,20220508214701
35,20220509175456
36,20220510191814
37,20220511203039
38,20220512212928
39,20220513224414
40,20220514215042
41,20220515220536
42,20220516221917
43,20220517223541
44,20220518154718
45,20220519205730
46,20220520153545
47,20220521164857
48,20220522215702
49,20220523214005
50,20220524192819
51,20220525104136
52,20220526202928
53,20220527130831
54,20220528210451
55,20220529230800
56,20220530175159
57,20220531214607
58,20220601215139
59,20220602223101
60,20220603205503
61,20220604164451
62,20220605223255
63,20220606143453
64,20220607145235
65,20220608153649
66,20220609212132
67,20220610213545
68,20220611185059
69,20220612232841
70,20220613220108
71,20220614172624
72,20220615194730
73,20220616203011
74,20220617214232
75,20220618220110
76,20220619220846
77,20220620222453
78,20220621230400
79,20220622231407
80,20220623234805
81,20220624120714
82,20220625191309
83,20220626010153
84,20220627064647
85,20220628012909
86,20220629020226
87,20220630021631
88,20220701025944
89,20220702034808
90,20220703165816
91,20220704025911
92,20220705235057
93,20220706092920
94,20220707223406
95,20220708222420
96,20220709230304
97,20220710051446
98,20220711054850
99,20220712163215
100,20220713065112
101,20220714071349
102,20220716104641
103,20220717112516
104,20220718225415
105,20220719124230
106,20220720132433
107,20220721195728
108,20220722234650
109,20220723234922
110,20220724230241
111,20220725214319
112,20220726192400
113,20220727202727
114,20220728230251
115,20220729231247
116,20220730220414
117,20220731232612
118,20220801233223
119,20220802113819
120,20220803151438
121,20220804233806
122,20220805210416
123,20220806231149
124,20220807205920
125,20220808214606
126,20220809171414
127,20220810184750
128,20220811203020
129,20220812214614
130,20220813222939
131,20220814225114
132,20220815232544
133,20220816165645
134,20220817095037
135,20220818211815
