,0
0,20220219225938
1,20220220235524
2,20220221235223
3,20220222235408
4,20220223232312
5,20220224234015
6,20220225234105
7,20220226232106
8,20220227224924
9,20220228234934
10,20220301234817
11,20220302235700
12,20220303221344
13,20220304235553
14,20220305231959
15,20220306235912
16,20220307234300
17,20220308205935
18,20220309225138
19,20220310235258
20,20220311232803
21,20220312223818
22,20220313221951
23,20220314234724
24,20220315234320
25,20220316235544
26,20220317234035
27,20220318235714
28,20220319234702
29,20220320235548
30,20220321233942
31,20220322235253
32,20220323234224
33,20220324234559
34,20220325232322
35,20220326233713
36,20220327203818
37,20220328233149
38,20220329233113
39,20220330233250
40,20220331234245
41,20220401221017
42,20220402233707
43,20220403233935
44,20220404225102
45,20220405224821
46,20220406223500
47,20220407214805
48,20220408231305
49,20220409231924
50,20220410232805
51,20220411205807
52,20220412234108
53,20220413234927
54,20220414231549
55,20220415233249
56,20220416232523
57,20220417235510
58,20220418235950
59,20220419233354
60,20220420232619
61,20220421224801
62,20220422235901
63,20220423214238
64,20220424235247
65,20220425230153
66,20220426225959
67,20220427231405
68,20220428233110
69,20220429235523
70,20220430234516
71,20220501234108
72,20220502230511
73,20220503235414
74,20220504223220
75,20220505234242
76,20220506235626
77,20220507235409
78,20220508212811
79,20220509233804
80,20220510212409
81,20220511235202
82,20220512222906
83,20220513232132
84,20220514224520
85,20220515224246
86,20220516234459
87,20220517233636
88,20220518235956
89,20220519233738
90,20220520235551
91,20220521233750
92,20220522235750
93,20220523233716
94,20220524230143
95,20220525233226
96,20220526233954
97,20220527224455
98,20220528233350
99,20220529235853
100,20220530233737
101,20220531235047
102,20220601234401
103,20220602232506
104,20220603234914
105,20220604234310
106,20220605235705
107,20220606235747
108,20220607230026
109,20220608234336
110,20220609214926
111,20220610235938
112,20220611230021
113,20220612231611
114,20220613230719
115,20220614235336
116,20220615221737
117,20220616195800
118,20220617235230
119,20220618230310
120,20220619232400
121,20220620230334
122,20220621235224
123,20220622235007
124,20220623234438
125,20220624234752
126,20220625231943
127,20220626233544
128,20220627231442
129,20220628214759
130,20220629220641
131,20220630223855
132,20220701232358
133,20220702234714
134,20220703135131
135,20220704200425
136,20220705230818
137,20220706220338
138,20220707221543
139,20220708234652
140,20220709195345
141,20220710195939
142,20220711225946
143,20220712231447
144,20220713224122
145,20220714235135
146,20220715232332
147,20220716200244
148,20220717235504
149,20220718233934
150,20220719221324
151,20220720224811
152,20220721200505
153,20220722234254
154,20220723235246
155,20220724231529
156,20220725232007
157,20220726234255
158,20220727233825
159,20220728234205
160,20220729234249
161,20220730232912
162,20220731234211
163,20220801234628
164,20220802235155
165,20220803210135
166,20220804214301
167,20220805231606
168,20220806224624
169,20220807225922
170,20220808233507
171,20220809234658
172,20220810231404
173,20220811225330
174,20220812232343
175,20220813234725
176,20220814224920
177,20220815234517
178,20220816224714
179,20220817224435
180,20220818201420
181,20220819222923
182,20220820181349
183,20220821213520
184,20220822043756
