,0
0,20220323222031
1,20220324235800
2,20220325231351
3,20220326212423
4,20220327210018
5,20220328194039
6,20220329215630
7,20220330231730
8,20220331235733
9,20220401215526
10,20220402224609
11,20220403231312
12,20220404223745
13,20220405230114
14,20220406223539
15,20220407230345
16,20220408155344
17,20220409224252
18,20220410194414
19,20220411181853
20,20220412231402
21,20220413232338
22,20220414211343
23,20220415232940
24,20220416225127
25,20220417235122
26,20220418205334
27,20220419225511
28,20220420214322
29,20220421224834
30,20220422230130
31,20220423233816
32,20220424232218
33,20220425232817
34,20220426233614
35,20220427230316
36,20220428232216
37,20220429234848
38,20220430235842
39,20220501231742
40,20220502205942
41,20220503233746
42,20220504212654
43,20220505224620
44,20220506235011
45,20220507215024
46,20220508203241
47,20220509233151
48,20220510225508
49,20220511205325
50,20220512232921
51,20220513225416
52,20220514223533
53,20220515222322
54,20220516225914
55,20220517234931
56,20220518230120
57,20220519214609
58,20220520231021
59,20220521230624
60,20220522205540
61,20220523221543
62,20220524210517
63,20220525210414
64,20220526214805
65,20220527212138
66,20220528233929
67,20220529221717
68,20220530231612
69,20220531224301
70,20220601233732
71,20220602224816
72,20220603235401
73,20220604234105
74,20220605235555
75,20220606233502
76,20220607233315
77,20220608224648
78,20220609232456
79,20220610225156
80,20220611223549
81,20220612212413
82,20220613215013
83,20220614211457
84,20220615213800
85,20220616220210
86,20220617222608
87,20220618231525
88,20220619233758
89,20220620232713
90,20220621231453
91,20220622233440
92,20220623235200
93,20220624235514
94,20220625233612
95,20220626233813
96,20220627192623
97,20220628203625
98,20220629230640
99,20220630230107
100,20220701225128
101,20220702222539
102,20220703235607
103,20220704184356
104,20220705220718
105,20220706221738
106,20220707213646
107,20220708232342
108,20220709224610
109,20220710234517
110,20220711232117
111,20220712230726
112,20220713194709
113,20220714221446
114,20220715230517
115,20220716235109
116,20220717233830
117,20220718194624
118,20220719225230
119,20220720222044
120,20220721233200
121,20220722235559
122,20220723230521
123,20220724233231
124,20220725234856
125,20220726225708
126,20220727234532
127,20220728234704
128,20220729230141
129,20220730224350
130,20220731230937
131,20220801232951
132,20220802224211
133,20220803234525
134,20220804205802
135,20220805231152
136,20220806235301
137,20220807235838
138,20220808230509
139,20220809214608
140,20220810223954
141,20220811232236
142,20220812232211
143,20220813213140
144,20220814231057
145,20220815213630
146,20220816235133
147,20220817235910
148,20220818234850
149,20220819234746
150,20220820225511
151,20220821233752
152,20220822232322
153,20220823232411
154,20220824233705
155,20220825233529
156,20220826224232
157,20220827230007
158,20220828232838
159,20220829233716
160,20220830235413
161,20220831234926
162,20220901224250
163,20220902065321
164,20220903022632
165,20220904163922
166,20220905234137
167,20220906184334
168,20220907223527
169,20220908234934
170,20220909145806
171,20220910215426
172,20220911234339
173,20220912234557
174,20220913173819
175,20220914192746
176,20220915213135
177,20220916232058
178,20220917234238
179,20220918232331
180,20220919232522
181,20220920194146
182,20220921161634
183,20220922150841
